# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.21006791752653e-05 2.21006791752715e-05 2.21006791752716e-05
1024 1 3.62242048206751e-05 3.62242048206773e-05 3.62242048206795e-05
1536 1.5 4.92342467765563e-05 4.92342467765563e-05 4.92342467765562e-05
2048 2 5.10545803731695e-05 5.10545803731584e-05 5.10545803731472e-05
2560 2.5 5.31989054401666e-05 5.31989054401686e-05 5.31989054401706e-05
3072 3 5.2842906686766e-05 5.28429066867311e-05 5.28429066867274e-05
3584 3.5 5.72981661527171e-05 5.72981661527165e-05 5.72981661527167e-05
4096 4 5.67569250664761e-05 5.67569250664471e-05 5.67569250664161e-05
4608 4.5 5.43048140530434e-05 5.43048140530512e-05 5.43048140530377e-05
5120 5 5.45541586322269e-05 5.45541586322606e-05 5.45541586322574e-05
5632 5.5 7.62661839033471e-05 7.62661839033222e-05 7.62661839033395e-05
6144 6 9.21403224310648e-05 9.21403224311988e-05 9.21403224306552e-05
6656 6.5 6.47919038612829e-05 6.47919038613499e-05 6.47919038601021e-05
7168 7 4.12959988722649e-05 4.12959988722488e-05 4.12959988720525e-05
7680 7.5 4.72383408871529e-05 4.7238340888109e-05 4.72383408853623e-05
8192 8 7.03645435407936e-05 7.03645435416148e-05 7.03645435401114e-05
8704 8.5 7.04439497708286e-05 7.0443949771975e-05 7.04439497707101e-05
9216 9 4.57554239795988e-05 4.57554239804657e-05 4.57554239803916e-05
9728 9.5 5.81492740454434e-05 5.81492740460451e-05 5.8149274042923e-05
10240 10 5.3048569263815e-05 5.30485692628283e-05 5.30485692616714e-05
10752 10.5 5.04272976248518e-05 5.04272976263164e-05 5.04272976266996e-05
11264 11 4.6153570115686e-05 4.61535701166795e-05 4.61535701170412e-05
11776 11.5 5.93132600879374e-05 5.93132600879699e-05 5.93132600883379e-05
12288 12 6.73968581531853e-05 6.73968581531211e-05 6.73968581527335e-05
12800 12.5 7.53151289462916e-05 7.53151289465636e-05 7.53151289453627e-05
13312 13 7.2374357950953e-05 7.23743579499684e-05 7.23743579497075e-05
13824 13.5 5.36875177254671e-05 5.36875177237622e-05 5.36875177248965e-05
14336 14 5.19294809440335e-05 5.19294809444291e-05 5.19294809434383e-05
14848 14.5 6.58765445129638e-05 6.58765445115266e-05 6.58765445133648e-05
15360 15 7.03151963675957e-05 7.03151963658805e-05 7.03151963677655e-05
15872 15.5 6.40016326402998e-05 6.4001632639042e-05 6.40016326389793e-05
16384 16 4.64695116035685e-05 4.64695116017205e-05 4.64695116031503e-05
16896 16.5 4.72646602221564e-05 4.72646602216724e-05 4.72646602218911e-05
17408 17 5.77717374875052e-05 5.77717374849939e-05 5.7771737482656e-05
17920 17.5 6.78511460219636e-05 6.78511460202132e-05 6.78511460166405e-05
18432 18 8.02999735025877e-05 8.02999735039528e-05 8.02999735019014e-05
18944 18.5 8.76679025418894e-05 8.76679025448519e-05 8.76679025447677e-05
19456 19 8.00030178861929e-05 8.00030178885158e-05 8.0003017888792e-05
19968 19.5 5.75120492136721e-05 5.75120492153739e-05 5.75120492150623e-05
20480 20 4.22572869925352e-05 4.22572869931624e-05 4.22572869940246e-05
20992 20.5 4.71955220611252e-05 4.71955220599295e-05 4.71955220597896e-05
21504 21 5.26826717127168e-05 5.26826717154881e-05 5.26826717131911e-05
22016 21.5 5.76568634828496e-05 5.76568634823023e-05 5.76568634775034e-05
22528 22 5.92296396157867e-05 5.92296396160369e-05 5.9229639612694e-05
23040 22.5 8.75601875969048e-05 8.75601875989767e-05 8.75601875969177e-05
23552 23 8.83270503366672e-05 8.83270503361932e-05 8.83270503344526e-05
24064 23.5 6.78196717141731e-05 6.78196717173322e-05 6.78196717142897e-05
24576 24 8.85156848195458e-05 8.85156848209565e-05 8.8515684819488e-05
25088 24.5 6.32659796809854e-05 6.32659796806612e-05 6.32659796810834e-05
25600 25 7.09718567615953e-05 7.0971856763343e-05 7.09718567626486e-05
26112 25.5 7.18936724742859e-05 7.18936724746906e-05 7.18936724749886e-05
26624 26 6.81912327262999e-05 6.81912327272759e-05 6.81912327278775e-05
27136 26.5 7.21198483680609e-05 7.21198483668986e-05 7.21198483672119e-05
27648 27 9.3035479942423e-05 9.30354799450812e-05 9.30354799431429e-05
28160 27.5 9.56438586832178e-05 9.56438586854704e-05 9.56438586846964e-05
28672 28 0.000136374791577667 0.000136374791579507 0.000136374791578738
29184 28.5 0.000146833543329801 0.000146833543329632 0.000146833543329368
29696 29 0.000120195022163377 0.000120195022161643 0.000120195022162672
30208 29.5 0.000147018855856143 0.000147018855856573 0.000147018855855288
30720 30 0.000159733366822171 0.000159733366820192 0.000159733366820378
31232 30.5 0.00011256428525799 0.000112564285255575 0.000112564285256375
31744 31 6.86049748766729e-05 6.86049748797905e-05 6.86049748796894e-05
32256 31.5 8.49388536337744e-05 8.4938853635147e-05 8.49388536362938e-05
32768 32 9.45117515237829e-05 9.45117515241456e-05 9.45117515246976e-05
33280 32.5 8.31931119279133e-05 8.31931119287453e-05 8.31931119300277e-05
33792 33 8.73072966838893e-05 8.73072966829701e-05 8.73072966838419e-05
34304 33.5 0.000107909796637199 0.000107909796638176 0.000107909796638972
