# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.903811971080847
512 0.5 0.904024726476154
1024 1 0.904224693696683
1536 1.5 0.904415512094946
2048 2 0.904630551174322
2560 2.5 0.904864561210404
3072 3 0.905103897845363
3584 3.5 0.905347956769523
4096 4 0.905599896518486
4608 4.5 0.905861470991213
5120 5 0.906133462583049
5632 5.5 0.906413123954757
6144 6 0.906695943946418
6656 6.5 0.906982014371891
7168 7 0.907271835317992
7680 7.5 0.907557497088949
8192 8 0.907830613058259
8704 8.5 0.90809285182745
9216 9 0.908347286021876
9728 9.5 0.90859106059892
10240 10 0.908823097407636
10752 10.5 0.9090456399077
11264 11 0.909258301368058
11776 11.5 0.909460186022028
12288 12 0.909652569220285
12800 12.5 0.909836185574191
13312 13 0.910012283721034
13824 13.5 0.910184845183515
14336 14 0.910358389847783
14848 14.5 0.910536977793851
15360 15 0.910724578193018
15872 15.5 0.910922792040323
16384 16 0.911129653616773
16896 16.5 0.911341457298642
17408 17 0.911554166896164
17920 17.5 0.91176431042831
18432 18 0.91197027421389
18944 18.5 0.912171834816394
19456 19 0.912367998645179
19968 19.5 0.912556322927748
20480 20 0.912733672976291
20992 20.5 0.912896164846861
21504 21 0.913039696607564
22016 21.5 0.913161795559987
22528 22 0.913261052454893
23040 22.5 0.913334858003884
23552 23 0.913380361096685
24064 23.5 0.913396223498341
24576 24 0.91338083619154
25088 24.5 0.913330951861875
25600 25 0.913243847142978
26112 25.5 0.913119754371246
26624 26 0.912964027513423
27136 26.5 0.91279062982243
27648 27 0.912622855543256
28160 27.5 0.912485723059837
28672 28 0.912392399631398
29184 28.5 0.912335769248082
29696 29 0.912294873846607
30208 29.5 0.91225206371386
30720 30 0.91220518379308
31232 30.5 0.912164422838323
31744 31 0.912138325493887
32256 31.5 0.912123296135887
32768 32 0.912108077148996
33280 32.5 0.912087995335114
33792 33 0.91207009161823
34304 33.5 0.912062017788618
34816 34 0.912060744708309
35328 34.5 0.912056410729201
35840 35 0.912044613082431
36352 35.5 0.912030493231763
36864 36 0.912020792564206
37376 36.5 0.912015955154495
37888 37 0.912012954543572
38400 37.5 0.912013000622246
38912 38 0.912020922074339
39424 38.5 0.912036851611107
39936 39 0.912053585330724
40448 39.5 0.912064395238871
40960 40 0.912070552717182
41472 40.5 0.912078410392353
41984 41 0.912090834955333
42496 41.5 0.912105437142276
43008 42 0.912120728436376
43520 42.5 0.912138910691519
44032 43 0.912161425822147
44544 43.5 0.912186598978772
45056 44 0.912213472040764
45568 44.5 0.912243695732114
46080 45 0.912277567722445
46592 45.5 0.9123116456086
47104 46 0.912342428840522
47616 46.5 0.912369930382164
48128 47 0.912395872458067
48640 47.5 0.912420517349457
49152 48 0.912442932415531
49664 48.5 0.91246256672738
50176 49 0.912479042366225
50688 49.5 0.912491757003895
51200 50 0.91250085961238
51712 50.5 0.912507622510839
52224 51 0.91251313755035
52736 51.5 0.912517504726071
53248 52 0.912520813414975
53760 52.5 0.912524169948689
54272 53 0.912529141724767
54784 53.5 0.912536449441072
55296 54 0.912545501883152
55808 54.5 0.912555003690524
56320 55 0.912563793650596
56832 55.5 0.91257132327269
57344 56 0.912577780657257
57856 56.5 0.912583920996783
58368 57 0.912590567634318
58880 57.5 0.912598068945742
59392 58 0.912606205459482
59904 58.5 0.912614573677776
60416 59 0.912622995953037
60928 59.5 0.912631599443928
61440 60 0.912640515688817
61952 60.5 0.912649511220407
62464 61 0.912658079143783
62976 61.5 0.912665984764963
63488 62 0.912673530935825
64000 62.5 0.912681166821718
64512 63 0.912688952707304
65024 63.5 0.912696487415849
65536 64 0.912703387676784
66048 64.5 0.912709841644453
66560 65 0.912716466738503
67072 65.5 0.912723497762943
67584 66 0.912730508227752
68096 66.5 0.912737170787522
68608 67 0.912743825976102
69120 67.5 0.912751021143829
69632 68 0.912758922213849
70144 68.5 0.912767373876967
70656 69 0.912776136745582
71168 69.5 0.912784964892757
71680 70 0.912793805230894
72192 70.5 0.91280295298132
72704 71 0.91281269565581
73216 71.5 0.912822796906031
73728 72 0.912832658619348
74240 72.5 0.912842077967637
74752 73 0.912851545865781
75264 73.5 0.912861620106483
75776 74 0.912872210885899
76288 74.5 0.912882683784592
76800 75 0.912892581375102
77312 75.5 0.912902105850263
77824 76 0.912911869790262
78336 76.5 0.912922210320753
78848 77 0.912932845213519
79360 77.5 0.912943279479111
79872 78 0.912953442626367
80384 78.5 0.912963735689687
80896 79 0.912974463232873
81408 79.5 0.912985451240176
81920 80 0.912996343255526
82432 80.5 0.9130070797076
82944 81 0.913017887849031
83456 81.5 0.913028928953375
83968 82 0.913040174966318
84480 82.5 0.913051561394182
84992 83 0.913063039109965
85504 83.5 0.913074490483729
86016 84 0.913085823390019
86528 84.5 0.91309718457992
87040 85 0.913108837400439
87552 85.5 0.913120750243284
88064 86 0.913132556855051
88576 86.5 0.913144038363989
89088 87 0.913155416980884
89600 87.5 0.913167023360635
90112 88 0.913178830923663
90624 88.5 0.913190496510452
91136 89 0.913201810265069
91648 89.5 0.913212929506183
92160 90 0.913224131309364
92672 90.5 0.913235494908708
93184 91 0.913246919653014
93696 91.5 0.913258319775018
94208 92 0.913269677201777
94720 92.5 0.913280979916879
95232 93 0.913292213912622
95744 93.5 0.913303391653841
96256 94 0.913314536601996
96768 94.5 0.913325657390652
97280 95 0.913336761069123
97792 95.5 0.913347868738743
98304 96 0.913358997324921
98816 96.5 0.913370137189701
99328 97 0.913381250871099
99840 97.5 0.913392285079397
100352 98 0.913403206180217
100864 98.5 0.913414051386385
101376 99 0.913424913326016
101888 99.5 0.913435826169123
102400 100 0.913446698169144
102912 100.5 0.913457423260853
103424 101 0.913468033447724
103936 101.5 0.913478654668689
104448 102 0.913489320194445
104960 102.5 0.913499918965324
105472 103 0.913510341228901
105984 103.5 0.913520602574017
106496 104 0.913530807817709
107008 104.5 0.913541041424882
107520 105 0.913551299559541
108032 105.5 0.913561496338491
108544 106 0.91357153962383
109056 106.5 0.913581424641652
109568 107 0.913591247023603
110080 107.5 0.913601105498624
110592 108 0.913610995249533
111104 108.5 0.913620812244724
111616 109 0.91363046694588
112128 109.5 0.913639984260529
112640 110 0.913649482355261
113152 110.5 0.913659056071427
113664 111 0.913668686643038
114176 111.5 0.913678263821355
114688 112 0.913687699081606
115200 112.5 0.913697024546933
115712 113 0.913706370121521
116224 113.5 0.913715822708141
116736 114 0.913725316990147
117248 114.5 0.913734700843756
117760 115 0.913743918837076
118272 115.5 0.913753095227517
118784 116 0.913762399703807
119296 116.5 0.91377184566295
119808 117 0.913781269395723
120320 117.5 0.913790524658134
120832 118 0.913799658772854
121344 118.5 0.91380885680956
121856 119 0.913818224888978
122368 119.5 0.913827675169397
122880 120 0.913837044556682
123392 120.5 0.913846294753078
123904 121 0.913855551096331
124416 121.5 0.913864947894376
124928 122 0.913874484039534
125440 122.5 0.913884053243011
125952 123 0.913893579723426
126464 123.5 0.913903086571424
126976 124 0.913912644886652
127488 124.5 0.913922292764052
128000 125 0.913932013621922
128512 125.5 0.913941773592005
129024 126 0.91395156032303
129536 126.5 0.913961387007916
130048 127 0.913971274469431
130560 127.5 0.913981234834064
131072 128 0.913991262351604
131584 128.5 0.9140013346906
132096 129 0.914011430590901
132608 129.5 0.914021551000306
133120 130 0.914031719219957
133632 130.5 0.914041958805078
134144 131 0.914052274583209
134656 131.5 0.914062655760625
135168 132 0.91407309352985
135680 132.5 0.914083591341553
136192 133 0.91409415573737
136704 133.5 0.914104779556041
137216 134 0.914115443200413
137728 134.5 0.914126139663497
138240 135 0.914136891976205
138752 135.5 0.914147732901786
139264 136 0.914158666557411
139776 136.5 0.914169661985085
140288 137 0.914180690622565
140800 137.5 0.914191761711695
141312 138 0.914202909807166
141824 138.5 0.914214148205105
142336 139 0.914225446378232
142848 139.5 0.914236761298874
143360 140 0.914248085938068
143872 140.5 0.914259457477316
144384 141 0.914270917217468
144896 141.5 0.914282468882403
145408 142 0.914294077917107
145920 142.5 0.914305706333158
146432 143 0.914317345717881
146944 143.5 0.914329020359796
147456 144 0.914340760609117
147968 144.5 0.914352569871609
148480 145 0.914364416710712
148992 145.5 0.914376264383064
149504 146 0.91438811059569
150016 146.5 0.914399993672323
150528 147 0.914411955284749
151040 147.5 0.914423997852502
151552 148 0.914436080960296
152064 148.5 0.91444816061718
152576 149 0.914460231004185
153088 149.5 0.91447232515365
153600 150 0.914484474605635
154112 150.5 0.914496672907312
154624 151 0.914508884156197
155136 151.5 0.914521088030028
155648 152 0.9145333067117
156160 152.5 0.914545577569396
156672 153 0.914557908385346
157184 153.5 0.914570270214504
157696 154 0.914582623689149
158208 154.5 0.914594950485991
158720 155 0.91460727331691
159232 155.5 0.914619635795029
159744 156 0.914632053090276
160256 156.5 0.914644502094403
160768 157 0.91465695609063
161280 157.5 0.914669405312389
161792 158 0.914681858756235
162304 158.5 0.914694337143501
162816 159 0.914706844465775
163328 159.5 0.914719359222904
163840 160 0.914731870140321
164352 160.5 0.91474438979281
164864 161 0.9147569284413
165376 161.5 0.914769487346075
165888 162 0.914782067527562
166400 162.5 0.914794662547128
166912 163 0.914807260552874
167424 163.5 0.914819860632139
167936 164 0.914832471497616
168448 164.5 0.914845098687812
168960 165 0.914857742229241
169472 165.5 0.91487039992272
169984 166 0.914883069280717
170496 166.5 0.914895747728971
171008 167 0.91490843192707
171520 167.5 0.914921122041093
172032 168 0.914933825452947
172544 168.5 0.914946548493384
173056 169 0.914959287887206
173568 169.5 0.914972036269243
174080 170 0.914984789920715
174592 170.5 0.914997548115735
175104 171 0.915010312828459
175616 171.5 0.915023091210938
176128 172 0.915035891328857
176640 172.5 0.915048711813854
177152 173 0.915061539635642
177664 173.5 0.91507436397408
178176 174 0.915087191361696
178688 174.5 0.915100039775749
179200 175 0.915112917545834
179712 175.5 0.915125814619378
180224 176 0.915138713844253
180736 176.5 0.915151608559841
181248 177 0.915164512123002
181760 177.5 0.915177445289795
182272 178 0.91519041001798
182784 178.5 0.915203388027268
183296 179 0.915216366579612
183808 179.5 0.915229348387596
184320 180 0.915242341180496
184832 180.5 0.915255354118891
185344 181 0.915268392805413
185856 181.5 0.915281449598599
186368 182 0.91529451468526
186880 182.5 0.915307592312866
187392 183 0.915320690514457
187904 183.5 0.915333809520801
188416 184 0.915346949662185
188928 184.5 0.915360109847961
189440 185 0.915373277264706
189952 185.5 0.915386441460408
190464 186 0.915399614192256
190976 186.5 0.915412815991221
191488 187 0.91542605170566
192000 187.5 0.915439312824527
192512 188 0.915452591139856
193024 188.5 0.915465880792056
193536 189 0.915479179701585
194048 189.5 0.915492492840441
194560 190 0.915505825105744
195072 190.5 0.915519174671637
195584 191 0.915532538848485
196096 191.5 0.915545919714825
196608 192 0.9155593219237
197120 192.5 0.915572748267706
197632 193 0.915586196405129
198144 193.5 0.915599661843164
198656 194 0.91561314266891
199168 194.5 0.915626635074885
199680 195 0.915640134319257
200192 195.5 0.915653648767944
200704 196 0.915667194277019
201216 196.5 0.915680768617455
201728 197 0.915694354533838
202240 197.5 0.915707948208253
202752 198 0.915721563170933
203264 198.5 0.91573520899326
203776 199 0.915748878945564
204288 199.5 0.915762557831751
204800 200 0.915776240224667
205312 200.5 0.915789936169721
205824 201 0.915803655856033
206336 201.5 0.915817401366139
206848 202 0.915831173512679
207360 202.5 0.915844969251757
207872 203 0.915858779039992
208384 203.5 0.915872599549886
208896 204 0.915886435801774
209408 204.5 0.915900290539955
209920 205 0.915914166724332
210432 205.5 0.915928068282914
210944 206 0.915941989244053
211456 206.5 0.915955920675078
211968 207 0.915969865614376
212480 207.5 0.915983830292954
212992 208 0.915997814600598
213504 208.5 0.916011819952981
214016 209 0.916025847219336
214528 209.5 0.916039888317171
215040 210 0.916053937228413
215552 210.5 0.916068000218293
216064 211 0.916082084977312
216576 211.5 0.916096192159669
217088 212 0.916110320514764
217600 212.5 0.916124468931046
218112 213 0.916138634218201
218624 213.5 0.916152813824279
219136 214 0.916167009711851
219648 214.5 0.916181227263989
220160 215 0.916195469208219
220672 215.5 0.916209730488348
221184 216 0.916224004256498
221696 216.5 0.916238293842768
222208 217 0.916252609901818
222720 217.5 0.916266955146523
223232 218 0.916281322793444
223744 218.5 0.91629570875066
224256 219 0.916310114108233
224768 219.5 0.916324540127964
225280 220 0.91633899092906
225792 220.5 0.916353473137405
226304 221 0.916367985225425
226816 221.5 0.916382517496114
227328 222 0.916397066303347
227840 222.5 0.916411637555754
228352 223 0.916426236974648
228864 223.5 0.916440866176943
229376 224 0.916455524310174
229888 224.5 0.916470207624482
230400 225 0.916484912896228
230912 225.5 0.916499643019386
231424 226 0.916514404196351
231936 226.5 0.916529199771788
232448 227 0.916544030519614
232960 227.5 0.916558896223694
233472 228 0.916573794478257
233984 228.5 0.916588723189516
234496 229 0.91660368528693
235008 229.5 0.916618686234985
235520 230 0.916633727198868
236032 230.5 0.916648804752947
236544 231 0.916663916635222
237056 231.5 0.916679064938587
237568 232 0.916694254277437
238080 232.5 0.916709487804847
238592 233 0.916724764112899
239104 233.5 0.916740078592013
239616 234 0.916755428888722
240128 234.5 0.916770817369101
240640 235 0.916786247398048
241152 235.5 0.916801719784736
241664 236 0.916817233587838
242176 236.5 0.916832787570792
242688 237 0.916848380436272
243200 237.5 0.916864012217834
243712 238 0.916879685222681
244224 238.5 0.916895401078169
244736 239 0.916911157513666
245248 239.5 0.916926950492048
245760 240 0.916942778467807
246272 240.5 0.916958642307656
246784 241 0.916974542710459
247296 241.5 0.916990479954809
247808 242 0.91700645402196
248320 242.5 0.917022462781403
248832 243 0.917038502231171
249344 243.5 0.917054570229499
249856 244 0.917070668100635
250368 244.5 0.917086797542022
250880 245 0.917102957534844
251392 245.5 0.917119145220147
251904 246 0.917135358968557
252416 246.5 0.91715159949991
252928 247 0.917167868136876
253440 247.5 0.91718416537813
253952 248 0.91720049125956
254464 248.5 0.917216845127306
254976 249 0.91723322490374
255488 249.5 0.917249628776846
256000 250 0.917266057659369
256512 250.5 0.917282514178534
257024 251 0.917298999705461
257536 251.5 0.917315513738027
258048 252 0.91733205525149
258560 252.5 0.917348623607434
259072 253 0.917365219175525
259584 253.5 0.917381843531929
260096 254 0.917398497887
260608 254.5 0.917415181536433
261120 255 0.917431893793271
261632 255.5 0.917448636874509
262144 256 0.917465411280784
262656 256.5 0.917482203882598
263168 257 0.917498986897866
263680 257.5 0.917515741226515
264192 258 0.917532484484551
264704 258.5 0.917549267170257
265216 259 0.91756613159064
265728 259.5 0.917583078801242
266240 260 0.917600084684
266752 260.5 0.917617133225088
267264 261 0.917634216330125
267776 261.5 0.917651324365687
268288 262 0.917668457959526
268800 262.5 0.917685626899704
269312 263 0.917702832406117
269824 263.5 0.917720072581763
270336 264 0.917737353494896
270848 264.5 0.917754678145017
271360 265 0.917772040563773
271872 265.5 0.917789434383768
272384 266 0.917806858090434
272896 266.5 0.917824318146004
273408 267 0.917841824123314
273920 267.5 0.917859375537668
274432 268 0.917876964070755
274944 268.5 0.917894583407532
275456 269 0.917912226833346
275968 269.5 0.917929891003649
276480 270 0.917947587203586
276992 270.5 0.917965334115754
277504 271 0.917983141575207
278016 271.5 0.918001005622201
278528 272 0.918018909199187
279040 272.5 0.918036829771629
279552 273 0.918054759476918
280064 273.5 0.918072717130342
280576 274 0.918090729549031
281088 274.5 0.91810879962913
281600 275 0.918126905410245
282112 275.5 0.91814503426433
282624 276 0.918163199023337
283136 276.5 0.918181412455596
283648 277 0.918199668017511
284160 277.5 0.918217957619632
284672 278 0.918236288293287
285184 278.5 0.918254667106952
285696 279 0.918273086173939
286208 279.5 0.918291538132233
286720 280 0.918310030756522
287232 280.5 0.918328570553127
287744 281 0.918347150112528
288256 281.5 0.918365765427176
288768 282 0.918384424726939
289280 282.5 0.918403131572645
289792 283 0.918421880386169
290304 283.5 0.918440670182567
290816 284 0.91845950477761
291328 284.5 0.918478384016593
291840 285 0.918497306405683
292352 285.5 0.918516272344623
292864 286 0.918535280620783
293376 286.5 0.918554330564158
293888 287 0.918573425624851
294400 287.5 0.91859256745566
294912 288 0.91861175218122
295424 288.5 0.918630977161888
295936 289 0.918650244931877
296448 289.5 0.918669558605532
296960 290 0.918688918126864
297472 290.5 0.918708321150736
297984 291 0.918727766557427
298496 291.5 0.918747257267495
299008 292 0.918766796467578
299520 292.5 0.918786382094784
300032 293 0.918806011573078
300544 293.5 0.91882568879052
301056 294 0.918845417785999
301568 294.5 0.918865194784016
302080 295 0.918885015700363
302592 295.5 0.918904884940407
303104 296 0.918924807814479
303616 296.5 0.918944781180211
304128 297 0.918964799666184
304640 297.5 0.918984864275074
305152 298 0.919004977754521
305664 298.5 0.919025138453777
306176 299 0.919045345328792
306688 299.5 0.91906560222887
307200 300 0.919085911471444
307712 300.5 0.919106269972421
308224 301 0.919126676309026
308736 301.5 0.919147134387741
309248 302 0.919167646578214
309760 302.5 0.919188210354858
310272 303 0.919208823899952
310784 303.5 0.919229488446623
311296 304 0.919250204375853
311808 304.5 0.919270970600663
312320 305 0.91929178730364
312832 305.5 0.919312654841243
313344 306 0.919333571286832
313856 306.5 0.919354534621974
314368 307 0.91937554565616
314880 307.5 0.919396605900457
315392 308 0.919417714588305
315904 308.5 0.919438870260841
316416 309 0.919460073026463
316928 309.5 0.919481323279205
317440 310 0.919502620479053
317952 310.5 0.919523964477569
318464 311 0.919545356084033
318976 311.5 0.919566795838077
319488 312 0.919588283541149
320000 312.5 0.919609818715812
320512 313 0.919631400834098
321024 313.5 0.919653030031001
321536 314 0.919674708071498
322048 314.5 0.919696437410006
322560 315 0.919718219001915
323072 315.5 0.919740052559247
323584 316 0.919761939182177
324096 316.5 0.919783881744674
324608 317 0.919805882116904
325120 317.5 0.919827940060809
325632 318 0.919850055617184
326144 318.5 0.91987223040397
326656 319 0.919894465570163
327168 319.5 0.919916760684586
327680 320 0.919939115498128
328192 320.5 0.919961530396604
328704 321 0.919984004728098
329216 321.5 0.920006537293075
329728 322 0.920029128632849
330240 322.5 0.920051780961303
330752 323 0.920074496080869
331264 323.5 0.920097274195349
331776 324 0.92012011458257
332288 324.5 0.920143017430539
332800 325 0.92016598445421
333312 325.5 0.920189017208505
333824 326 0.920212115875028
334336 326.5 0.920235279899834
334848 327 0.92025850875178
335360 327.5 0.920281802252186
335872 328 0.920305160378128
336384 328.5 0.920328582611429
336896 329 0.920352068479384
337408 329.5 0.920375618473444
337920 330 0.920399232926833
338432 330.5 0.920422910787301
338944 331 0.920446650507518
339456 331.5 0.920470450585292
339968 332 0.92049430909585
340480 332.5 0.920518225339278
340992 333 0.920542201332529
341504 333.5 0.920566238344371
342016 334 0.920590334229079
342528 334.5 0.920614487644444
343040 335 0.920638700170405
343552 335.5 0.920662971634418
344064 336 0.920687299634971
344576 336.5 0.920711683894056
345088 337 0.92073612532203
345600 337.5 0.9207606235134
346112 338 0.920785178283316
346624 338.5 0.920809790338198
347136 339 0.920834462931487
347648 339.5 0.920859204665804
348160 340 0.920884020968238
348672 340.5 0.92090890274327
349184 341 0.920933836366624
349696 341.5 0.920958820203571
350208 342 0.9209838599362
350720 342.5 0.921008959023659
351232 343 0.921034120789437
351744 343.5 0.92105934750025
352256 344 0.921084637997485
352768 344.5 0.921109992723972
353280 345 0.92113541445532
353792 345.5 0.921160904062946
354304 346 0.921186459118585
354816 346.5 0.921212075492177
355328 347 0.921237754685845
355840 347.5 0.921263502726147
356352 348 0.921289314887943
