# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 1.88175142171323e-06 1.88175142171323e-06 1.88175142171323e-06
1024 1 1.37933193512588e-05 1.37933193512589e-05 1.37933193512589e-05
1536 1.5 3.61557153241468e-05 3.61557153241468e-05 3.61557153241468e-05
2048 2 6.25520245457169e-05 6.25520245457169e-05 6.25520245457168e-05
2560 2.5 8.56747475064602e-05 8.56747475064603e-05 8.56747475064591e-05
3072 3 9.81375699434069e-05 9.81375699434069e-05 9.81375699434038e-05
3584 3.5 0.000110735178665108 0.000110735178665109 0.000110735178665108
4096 4 0.00012953296948879 0.000129532969488791 0.000129532969488791
4608 4.5 0.000135372713570995 0.000135372713570998 0.000135372713570998
5120 5 0.000153401961566668 0.000153401961566671 0.000153401961566673
5632 5.5 0.00016517318695159 0.000165173186951657 0.000165173186951659
6144 6 0.000165179178324099 0.000165179178324105 0.00016517917832411
6656 6.5 0.000187405041192683 0.000187405041192654 0.000187405041192657
7168 7 0.00019420917638038 0.000194209176380368 0.000194209176380378
7680 7.5 0.000209093650831257 0.000209093650831216 0.000209093650831215
8192 8 0.000226839021222569 0.000226839021222508 0.000226839021222526
8704 8.5 0.000227115053146836 0.000227115053146877 0.000227115053146871
9216 9 0.000212143093475799 0.000212143093475914 0.000212143093475894
9728 9.5 0.000168729004448382 0.000168729004448497 0.000168729004448428
10240 10 9.8806764033077e-05 9.88067640330576e-05 9.88067640331175e-05
