# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 1.87457704544067 0 0.0726804733276367 0 1.86585545539856 0 0 0 0 0 0 0 0 0 43.2877231729962 20245.3351455244 0 20245.3351455244 160 108651 2283 106368 0 0 0 0 1.8735613822937 1731334524.40162 266
512 0.5 15449.9613226428 15449.9613226428 2.06063508987427 0.116505146026611 0.190570592880249 0 1.87079358100891 3 222754.109025126 222754.109025126 25952 25952 37354.573153412 37354.573153412 4352 4352 97.3228465074604 65302.0257837613 8422.70415021433 56879.321633547 186 122316 15948 106368 0 0 0 0 2.05466794967651 1731334524.58768 905
1024 1 13323.2635500363 13323.2635500363 2.21433401107788 0.270204067230225 0.315991640090942 0 1.92827367782593 6 192091.85313919 192091.85313919 51904 51904 32212.6905387543 32212.6905387543 8704 8704 128.533189654902 66585.4599949135 9036.30465303354 57549.1553418799 284 130626 17346 113280 0 0 0 0 2.20372581481934 1731334524.74138 1544
1536 1.5 12841.6061560129 12841.6061560129 2.36463809013367 0.420508146286011 0.430685043334961 0 1.93474006652832 9 185147.423867137 185147.423867137 77856 77856 31048.1499949823 31048.1499949823 13056 13056 158.225144352147 68157.8077700455 9583.47982164279 58574.3279484027 310 132006 18726 113280 0 0 0 0 2.34945273399353 1731334524.89168 2183
2048 2 11822.3876541953 11822.3876541953 2.5531439781189 0.60901403427124 0.558031558990479 0 2.05690240859985 12 170452.558000932 170452.558000932 103808 103808 28583.9061505878 28583.9061505878 17408 17408 205.502204321455 85066.3844166447 10002.945101569 75063.4393150758 492 239798 20150 219648 0 0 0 0 2.53306865692139 1731334525.08019 2822
2560 2.5 11447.4542738493 11447.4542738493 2.73033094406128 0.786201000213623 0.669823884963989 0 2.06122422218323 15 165046.851841631 165046.851841631 129760 129760 27677.40055544 27677.40055544 21760 21760 249.453161410271 116954.707306645 10355.7034205688 106599.003886076 518 241187 21539 219648 0 0 0 0 2.70594525337219 1731334525.25738 3461
3072 3 11080.5359832275 11080.5359832275 2.91881203651428 0.974682092666626 0.829868316650391 0 2.12061285972595 18 159756.705464844 159756.705464844 155712 155712 26790.2736661144 26790.2736661144 26112 26112 275.737443054488 117427.768717475 10901.203217425 106526.565500051 616 249524 22964 226560 0 0 0 0 2.88949227333069 1731334525.44586 4100
3584 3.5 11241.7880933885 11241.7880933885 3.06494808197021 1.12081813812256 0.94071626663208 0 2.12494993209839 21 162081.602555343 162081.602555343 181664 181664 27180.1454346814 27180.1454346814 30464 30464 300.343868024801 118022.900414987 11367.8741772146 106655.026237773 642 250907 24347 226560 0 0 0 0 3.03113293647766 1731334525.59199 4739
4096 4 11009.2498293874 11009.2498293874 3.25212097167969 1.30799102783203 1.07014203071594 0 2.24240303039551 24 158728.917540145 158728.917540145 207616 207616 26617.9195874966 26617.9195874966 34816 34816 340.058277405863 132274.878818272 11723.761178328 120551.117639944 824 358701 25773 332928 0 0 0 0 3.21365404129028 1731334525.77917 5378
4608 4.5 10910.4352213166 10910.4352213166 3.42894697189331 1.48481702804565 1.18299508094788 0 2.24665403366089 27 157304.230479783 157304.230479783 233568 233568 26379.0078239833 26379.0078239833 39168 39168 376.677703298389 160240.297866978 12005.5999902338 148234.697876745 850 360093 27165 332928 0 0 0 0 3.386146068573 1731334525.95599 6017
