# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235197871619842
512 0.5 0.0235180243212093
1024 1 0.0235162679194424
1536 1.5 0.0235145193474001
2048 2 0.023512779888144
2560 2.5 0.0235110499494162
3072 3 0.023509329201123
3584 3.5 0.0235076163099468
4096 4 0.0235059095827647
4608 4.5 0.023504207931459
5120 5 0.023502510496749
5632 5.5 0.0235008164479672
6144 6 0.0234991238394868
6656 6.5 0.0234974307679118
7168 7 0.0234957357290906
7680 7.5 0.0234940370629545
8192 8 0.0234923328469634
8704 8.5 0.0234906209272073
9216 9 0.0234888992260411
9728 9.5 0.0234871659879515
10240 10 0.0234854199876513
10752 10.5 0.0234836604927076
11264 11 0.0234818866487566
11776 11.5 0.0234800974050162
12288 12 0.0234782916844383
12800 12.5 0.0234764687333935
13312 13 0.0234746282004936
13824 13.5 0.0234727695506693
14336 14 0.0234708918328239
14848 14.5 0.0234689937844405
15360 15 0.0234670740077347
15872 15.5 0.0234651309501895
16384 16 0.0234631628357288
16896 16.5 0.0234611679956976
17408 17 0.0234591456743649
17920 17.5 0.0234570964640491
18432 18 0.0234550225236974
18944 18.5 0.0234529264059715
19456 19 0.0234508098844689
19968 19.5 0.0234486731381742
20480 20 0.023446515342375
20992 20.5 0.0234443357826589
21504 21 0.0234421345451423
22016 21.5 0.0234399123560128
22528 22 0.0234376700016677
23040 22.5 0.0234354079772607
23552 23 0.0234331265793844
24064 23.5 0.0234308261648626
24576 24 0.0234285072123592
25088 24.5 0.0234261699403637
25600 25 0.0234238144741678
26112 25.5 0.023421441123381
26624 26 0.0234190506103692
27136 26.5 0.023416643953424
27648 27 0.0234142220050619
28160 27.5 0.0234117851159235
28672 28 0.0234093332368728
29184 28.5 0.0234068666238916
29696 29 0.0234043860286226
30208 29.5 0.0234018928004855
30720 30 0.0233993881187258
31232 30.5 0.0233968724731143
31744 31 0.0233943458236792
32256 31.5 0.0233918081956881
32768 32 0.0233892601257907
33280 32.5 0.0233867024326669
33792 33 0.0233841358974752
34304 33.5 0.0233815609810687
34816 34 0.023378977616069
35328 34.5 0.0233763854624507
35840 35 0.0233737846665135
36352 35.5 0.0233711756142885
36864 36 0.0233685585579737
37376 36.5 0.0233659333680439
37888 37 0.0233632995731973
38400 37.5 0.023360656866207
38912 38 0.0233580052698419
39424 38.5 0.0233553450936516
39936 39 0.0233526766725952
40448 39.5 0.0233500000628215
40960 40 0.0233473149396936
41472 40.5 0.0233446207625945
41984 41 0.0233419171633131
42496 41.5 0.0233392041110636
43008 42 0.0233364818386945
43520 42.5 0.0233337506022862
44032 43 0.0233310104554003
44544 43.5 0.0233282611784398
45056 44 0.0233255023857491
45568 44.5 0.0233227337350415
46080 45 0.0233199550949161
46592 45.5 0.02331716653271
47104 46 0.0233143681447467
47616 46.5 0.0233115598533176
48128 47 0.023308741336461
48640 47.5 0.0233059121625796
49152 48 0.023303072037167
49664 48.5 0.0233002209482718
50176 49 0.0232973590733041
50688 49.5 0.0232944865294434
51200 50 0.0232916031389628
51712 50.5 0.0232887082951969
52224 51 0.0232858017189897
52736 51.5 0.0232828834017394
53248 52 0.0232799534937726
53760 52.5 0.0232770121011961
54272 53 0.0232740591771089
54784 53.5 0.0232710946321512
55296 54 0.0232681185465491
55808 54.5 0.0232651312490127
56320 55 0.0232621331651078
56832 55.5 0.0232591245924834
57344 56 0.0232561056349891
57856 56.5 0.0232530763600276
58368 57 0.0232500370116004
58880 57.5 0.0232469880615189
59392 58 0.0232439299379766
59904 58.5 0.023240863063348
60416 59 0.0232377876253047
60928 59.5 0.023234703919763
61440 60 0.0232316123334038
61952 60.5 0.0232285134088649
62464 61 0.0232254077378184
62976 61.5 0.0232222957324171
63488 62 0.0232191778247297
64000 62.5 0.0232160544004624
64512 63 0.0232129259484566
65024 63.5 0.0232097930270202
65536 64 0.0232066562007595
66048 64.5 0.0232035159404957
66560 65 0.023200372689637
67072 65.5 0.0231972270423538
67584 66 0.0231940796419575
68096 66.5 0.023190931148079
68608 67 0.0231877822276429
69120 67.5 0.0231846333177873
69632 68 0.0231814847040652
70144 68.5 0.0231783367803923
70656 69 0.0231751900065997
71168 69.5 0.0231720450178438
71680 70 0.0231689023844765
72192 70.5 0.0231657625469832
72704 71 0.0231626259166696
73216 71.5 0.0231594928370512
73728 72 0.0231563636603488
74240 72.5 0.0231532386585266
74752 73 0.0231501182809187
75264 73.5 0.0231470028829999
75776 74 0.0231438926032695
76288 74.5 0.0231407874689941
76800 75 0.0231376874930766
77312 75.5 0.0231345927719757
77824 76 0.0231315034772505
78336 76.5 0.0231284197519451
78848 77 0.023125341597756
79360 77.5 0.0231222688884859
79872 78 0.0231192014355419
80384 78.5 0.0231161391022329
80896 79 0.0231130818526257
81408 79.5 0.0231100296864282
81920 80 0.0231069825179909
82432 80.5 0.0231039401133468
82944 81 0.023100902149452
83456 81.5 0.0230978683449811
83968 82 0.0230948385398749
84480 82.5 0.0230918126437766
84992 83 0.0230887904965131
85504 83.5 0.0230857717719914
86016 84 0.0230827560195967
86528 84.5 0.0230797428082871
87040 85 0.0230767318406484
87552 85.5 0.0230737229332321
88064 86 0.0230707158873165
88576 86.5 0.0230677103759486
89088 87 0.023064705951561
89600 87.5 0.0230617021578779
90112 88 0.0230586986331407
90624 88.5 0.0230556951103596
91136 89 0.0230526913257904
91648 89.5 0.0230496869319155
92160 90 0.0230466815001239
92672 90.5 0.0230436746011426
93184 91 0.0230406658799753
93696 91.5 0.0230376550573361
94208 92 0.0230346418659812
94720 92.5 0.0230316259892072
95232 93 0.0230286070569975
95744 93.5 0.0230255847302954
96256 94 0.023022558783715
96768 94.5 0.0230195289310231
97280 95 0.0230164948950838
97792 95.5 0.023013456383404
98304 96 0.0230104130821835
98816 96.5 0.0230073646843809
99328 97 0.0230043109278998
99840 97.5 0.0230012516491419
100352 98 0.022998186656471
100864 98.5 0.0229951157235604
101376 99 0.0229920386063271
101888 99.5 0.0229889550634682
102400 100 0.0229858648889843
102912 100.5 0.0229827679280257
103424 101 0.0229796640608621
103936 101.5 0.0229765531690459
104448 102 0.0229734351106409
104960 102.5 0.0229703097314581
105472 103 0.0229671769011812
105984 103.5 0.0229640365409999
106496 104 0.0229608887017296
107008 104.5 0.0229577333598522
107520 105 0.0229545704258661
108032 105.5 0.0229513998037444
108544 106 0.0229482214308461
109056 106.5 0.0229450353016482
109568 107 0.0229418414486546
110080 107.5 0.0229386398964566
110592 108 0.0229354306328088
111104 108.5 0.0229322136258776
111616 109 0.0229289888730185
112128 109.5 0.0229257564353574
112640 110 0.0229225164249748
113152 110.5 0.0229192689558673
113664 111 0.0229160141039985
114176 111.5 0.0229127519136216
114688 112 0.0229094824430667
115200 112.5 0.0229062058069259
115712 113 0.0229029221748964
116224 113.5 0.0228996317246935
116736 114 0.0228963345932524
117248 114.5 0.022893030872718
117760 115 0.0228897206560369
118272 115.5 0.022886404089409
118784 116 0.0228830813790638
119296 116.5 0.0228797527407654
119808 117 0.0228764183592133
120320 117.5 0.0228730783657461
120832 118 0.0228697328761291
121344 118.5 0.0228663820444686
121856 119 0.0228630260786705
122368 119.5 0.022859665203295
122880 120 0.0228562996075509
123392 120.5 0.0228529294293182
123904 121 0.022849554788536
124416 121.5 0.0228461758277225
124928 122 0.0228427927349431
125440 122.5 0.0228394057145308
125952 123 0.0228360149368926
126464 123.5 0.0228326205224375
126976 124 0.0228292225663895
127488 124.5 0.0228258211773539
128000 125 0.022822416493306
128512 125.5 0.0228190086641355
129024 126 0.0228155978212238
129536 126.5 0.0228121840622945
130048 127 0.0228087674613445
130560 127.5 0.0228053480905694
131072 128 0.0228019260328238
131584 128.5 0.0227985013756459
132096 129 0.0227950741945465
132608 129.5 0.0227916445406076
133120 130 0.0227882124422345
133632 130.5 0.0227847779193374
134144 131 0.0227813409989191
134656 131.5 0.0227779017197529
135168 132 0.0227744601217624
135680 132.5 0.022771016228027
136192 133 0.0227675700345201
136704 133.5 0.0227641215172025
137216 134 0.0227606706508371
137728 134.5 0.022757217422384
138240 135 0.0227537618263202
138752 135.5 0.0227503038469288
139264 136 0.0227468434462271
139776 136.5 0.0227433805709607
140288 137 0.022739915172198
140800 137.5 0.0227364472169648
141312 138 0.0227329766786829
141824 138.5 0.0227295035152166
142336 139 0.0227260276571717
142848 139.5 0.0227225490195702
143360 140 0.0227190675263087
143872 140.5 0.0227155831233411
144384 141 0.0227120957676272
144896 141.5 0.0227086054036166
145408 142 0.0227051119123456
145920 142.5 0.0227016152372458
146432 143 0.0226981152560551
146944 143.5 0.0226946118661577
147456 144 0.0226911050504189
147968 144.5 0.0226875947630868
148480 145 0.0226840808360447
148992 145.5 0.0226805632247397
149504 146 0.0226770418223433
150016 146.5 0.0226735165245426
150528 147 0.0226699873182981
151040 147.5 0.0226664541014169
151552 148 0.0226629167665072
152064 148.5 0.0226593752141355
152576 149 0.0226558293542118
153088 149.5 0.0226522791201708
153600 150 0.0226487244158909
154112 150.5 0.022645165222098
154624 151 0.0226416014165135
155136 151.5 0.0226380329068259
155648 152 0.0226344595887814
156160 152.5 0.0226308814008464
156672 153 0.0226272982749691
157184 153.5 0.0226237101815545
157696 154 0.0226201169815489
158208 154.5 0.0226165186338343
158720 155 0.0226129150354355
159232 155.5 0.0226093061268748
159744 156 0.0226056918383001
160256 156.5 0.0226020721222934
160768 157 0.0225984469131906
161280 157.5 0.0225948161145319
161792 158 0.0225911796541215
162304 158.5 0.0225875375003263
162816 159 0.0225838895856605
163328 159.5 0.0225802358388864
163840 160 0.0225765762348659
164352 160.5 0.0225729106835367
164864 161 0.0225692391215029
165376 161.5 0.0225655615173843
165888 162 0.0225618777752856
166400 162.5 0.0225581879102896
166912 163 0.0225544918302082
167424 163.5 0.0225507895360687
167936 164 0.0225470809188781
168448 164.5 0.0225433659755159
168960 165 0.0225396446125124
169472 165.5 0.0225359168464544
169984 166 0.0225321825961472
170496 166.5 0.022528441892671
171008 167 0.0225246946399554
171520 167.5 0.0225209407893665
172032 168 0.0225171803451055
172544 168.5 0.0225134132785327
173056 169 0.0225096395122713
173568 169.5 0.022505859043471
174080 170 0.0225020718192373
174592 170.5 0.0224982777843461
175104 171 0.0224944768939917
175616 171.5 0.0224906691141296
176128 172 0.0224868544292147
176640 172.5 0.0224830328155355
177152 173 0.0224792042018692
177664 173.5 0.0224753685662624
178176 174 0.0224715258477515
178688 174.5 0.022467676042379
179200 175 0.0224638191104289
179712 175.5 0.0224599549975751
180224 176 0.0224560836499407
180736 176.5 0.0224522050156873
181248 177 0.0224483190837839
181760 177.5 0.0224444257933881
182272 178 0.0224405251397778
182784 178.5 0.0224366170813477
183296 179 0.0224327015674927
183808 179.5 0.0224287785887853
184320 180 0.0224248480958181
184832 180.5 0.0224209100614042
185344 181 0.0224169644582641
185856 181.5 0.0224130112514955
186368 182 0.022409050388548
186880 182.5 0.0224050818536262
187392 183 0.0224011055957069
187904 183.5 0.0223971216421793
188416 184 0.0223931299305839
188928 184.5 0.022389130480577
189440 185 0.0223851232180867
189952 185.5 0.0223811081568666
190464 186 0.0223770852348755
190976 186.5 0.0223730544936191
191488 187 0.0223690158856285
192000 187.5 0.0223649694159057
192512 188 0.0223609150770751
193024 188.5 0.0223568528092033
193536 189 0.0223527826468019
194048 189.5 0.0223487045761691
194560 190 0.0223446185544652
195072 190.5 0.0223405246202041
195584 191 0.0223364227670317
196096 191.5 0.0223323129786298
196608 192 0.022328195214523
197120 192.5 0.0223240695238138
197632 193 0.0223199359180966
198144 193.5 0.0223157944041112
198656 194 0.0223116449811771
199168 194.5 0.0223074876446011
199680 195 0.0223033223924921
200192 195.5 0.0222991492309085
200704 196 0.0222949681716674
201216 196.5 0.0222907792263577
201728 197 0.0222865824022889
202240 197.5 0.0222823777032624
202752 198 0.0222781651352327
203264 198.5 0.022273944710609
203776 199 0.0222697164463447
204288 199.5 0.0222654803585496
204800 200 0.0222612364583291
205312 200.5 0.0222569847528118
205824 201 0.0222527252513827
206336 201.5 0.0222484579710299
206848 202 0.0222441829358121
207360 202.5 0.0222399001708443
207872 203 0.0222356096965233
208384 203.5 0.0222313115284592
208896 204 0.0222270056829585
209408 204.5 0.0222226921629369
209920 205 0.0222183708203563
210432 205.5 0.0222140416423487
210944 206 0.0222097046564926
211456 206.5 0.0222053598198784
211968 207 0.0222010071161776
212480 207.5 0.0221966465746882
212992 208 0.0221922782307049
213504 208.5 0.0221879021203691
214016 209 0.0221835182751788
214528 209.5 0.0221791267214963
215040 210 0.0221747274852758
215552 210.5 0.0221703205971839
216064 211 0.02216590609326
216576 211.5 0.0221614840093163
217088 212 0.0221570543465509
217600 212.5 0.0221526170416766
218112 213 0.0221481721127324
218624 213.5 0.0221437195854605
219136 214 0.0221392594923381
219648 214.5 0.0221347918666289
220160 215 0.0221303167372791
220672 215.5 0.0221258340812032
221184 216 0.0221213423631205
221696 216.5 0.0221168411381659
222208 217 0.0221123305822268
222720 217.5 0.0221078108654295
223232 218 0.0221032821463683
223744 218.5 0.0220987444202312
224256 219 0.0220941962834884
224768 219.5 0.0220896375654136
225280 220 0.0220850686747999
225792 220.5 0.022080490010887
226304 221 0.0220759016299159
226816 221.5 0.022071303400542
227328 222 0.0220666955561403
227840 222.5 0.0220620783327098
228352 223 0.0220574519592899
228864 223.5 0.0220528166547026
229376 224 0.022048172622833
229888 224.5 0.0220435200510492
230400 225 0.0220388591133065
230912 225.5 0.0220341899750373
231424 226 0.0220295127938436
231936 226.5 0.022024827717414
232448 227 0.022020134879864
232960 227.5 0.0220154343998336
233472 228 0.0220107263823386
233984 228.5 0.02200601092272
234496 229 0.0220012881090747
235008 229.5 0.0219965580211703
235520 230 0.0219918207280554
236032 230.5 0.0219870762870324
236544 231 0.0219823247440037
237056 231.5 0.021977566136574
237568 232 0.0219728004970755
238080 232.5 0.0219680278523865
238592 233 0.0219632482206172
239104 233.5 0.0219584616089262
239616 234 0.0219536680151877
240128 234.5 0.0219488674243881
240640 235 0.0219440597206024
241152 235.5 0.0219392448592997
241664 236 0.0219344228238558
242176 236.5 0.021929593589888
242688 237 0.0219247571098393
243200 237.5 0.0219199132937927
243712 238 0.0219150619515943
244224 238.5 0.0219102029962241
244736 239 0.0219053363946015
245248 239.5 0.0219004621083167
245760 240 0.0218955800948
246272 240.5 0.0218906903108036
246784 241 0.0218857927150323
247296 241.5 0.021880887267848
247808 242 0.0218759739287057
248320 242.5 0.0218710526550436
248832 243 0.0218661234020779
249344 243.5 0.0218611861254206
249856 244 0.0218562407837021
250368 244.5 0.0218512873376119
250880 245 0.0218463257472615
251392 245.5 0.0218413559700276
251904 246 0.0218363779609221
252416 246.5 0.0218313916751083
252928 247 0.0218263970705756
253440 247.5 0.0218213941095329
253952 248 0.021816382754284
254464 248.5 0.021811362963562
254976 249 0.0218063346775822
255488 249.5 0.0218012978442339
256000 250 0.0217962524226913
256512 250.5 0.0217911983744104
257024 251 0.0217861356852548
257536 251.5 0.0217810646960722
258048 252 0.0217759854983716
258560 252.5 0.0217708979784634
259072 253 0.0217658020214311
259584 253.5 0.0217606976407571
260096 254 0.0217555849240411
260608 254.5 0.0217504637908753
261120 255 0.0217453341558074
261632 255.5 0.0217401959344931
262144 256 0.0217350490029731
262656 256.5 0.0217298932386677
263168 257 0.0217247285651824
263680 257.5 0.0217195548997861
264192 258 0.0217143720917206
264704 258.5 0.0217091799647596
265216 259 0.0217039783602896
265728 259.5 0.021698767137779
266240 260 0.0216935461692328
266752 260.5 0.0216883153122647
267264 261 0.0216830744312827
267776 261.5 0.0216778234108602
268288 262 0.0216725621561485
268800 262.5 0.0216672905913098
269312 263 0.0216620086560851
269824 263.5 0.0216567163007768
270336 264 0.0216514134792188
270848 264.5 0.0216461001486508
271360 265 0.0216407762745055
271872 265.5 0.0216354418324169
272384 266 0.0216300968056414
272896 266.5 0.0216247411828902
273408 267 0.0216193749575602
273920 267.5 0.021613998128463
274432 268 0.0216086107006025
274944 268.5 0.0216032125997201
275456 269 0.0215978035653298
275968 269.5 0.0215923835940185
276480 270 0.0215869527022464
276992 270.5 0.0215815108948565
277504 271 0.0215760580690036
278016 271.5 0.0215705942022447
278528 272 0.0215651193031267
279040 272.5 0.0215596333747878
279552 273 0.0215541364143932
280064 273.5 0.0215486284139974
280576 274 0.0215431093618013
281088 274.5 0.0215375792423245
281600 275 0.0215320380350973
282112 275.5 0.0215264857136561
282624 276 0.0215209222449977
283136 276.5 0.0215153475896917
283648 277 0.0215097617051196
284160 277.5 0.0215041645465416
284672 278 0.0214985560666064
285184 278.5 0.0214929362149715
285696 279 0.0214873049377496
286208 279.5 0.0214816621752828
286720 280 0.0214760078657792
287232 280.5 0.0214703419483922
287744 281 0.0214646643632671
288256 281.5 0.0214589750508761
288768 282 0.0214532736400003
289280 282.5 0.0214475589850593
289792 283 0.0214418310098869
290304 283.5 0.0214360897496204
290816 284 0.0214303352365709
291328 284.5 0.02142456749666
291840 285 0.0214187865507001
292352 285.5 0.0214129924156135
292864 286 0.0214071851052913
293376 286.5 0.0214013646304587
293888 287 0.0213955309992115
294400 287.5 0.0213896842169259
294912 288 0.0213838242828408
295424 288.5 0.0213779511880782
295936 289 0.0213720649157794
296448 289.5 0.0213661654453622
296960 290 0.0213602527522633
297472 290.5 0.0213543268072479
297984 291 0.0213483875770404
298496 291.5 0.0213424350282137
299008 292 0.0213364691316209
299520 292.5 0.0213304898582077
300032 293 0.021324497175807
300544 293.5 0.0213184910484318
301056 294 0.0213124714336155
301568 294.5 0.0213064382861751
302080 295 0.021300391739643
302592 295.5 0.0212943317989178
303104 296 0.0212882583862487
303616 296.5 0.02128217142405
304128 297 0.0212760708346519
304640 297.5 0.0212699565417993
305152 298 0.0212638284727504
305664 298.5 0.0212576865672526
306176 299 0.0212515307718394
306688 299.5 0.0212453610349994
307200 300 0.021239177304707
307712 300.5 0.0212329795291402
308224 301 0.0212267676575182
308736 301.5 0.0212205416401968
309248 302 0.021214301428099
309760 302.5 0.0212080469703255
310272 303 0.02120177821542
310784 303.5 0.0211954951134995
311296 304 0.0211891976169514
311808 304.5 0.0211828856802186
312320 305 0.0211765592589834
312832 305.5 0.0211702183053489
313344 306 0.0211638608888013
313856 306.5 0.0211574853054593
314368 307 0.0211510916942333
314880 307.5 0.0211446801945688
315392 308 0.0211382509443596
315904 308.5 0.0211318040765433
316416 309 0.0211253397186122
316928 309.5 0.0211188579941535
317440 310 0.0211123590225271
317952 310.5 0.0211058429180105
318464 311 0.0210993097886244
318976 311.5 0.0210927597352439
319488 312 0.0210861928513665
320000 312.5 0.021079609223348
320512 313 0.0210730089567727
321024 313.5 0.0210663922190648
321536 314 0.0210597590748833
322048 314.5 0.0210531095720886
