# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:15:24+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.15.22-10624
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -3.81032357874135e-05 -3.81032357874111e-05 -3.81032357874087e-05
1024 1 -6.52626855858505e-05 -6.52626855858571e-05 -6.52626855858617e-05
1536 1.5 -7.88344793798657e-05 -7.88344793798623e-05 -7.88344793798511e-05
2048 2 -6.32568473509341e-05 -6.32568473509268e-05 -6.32568473509124e-05
2560 2.5 -3.85213766814979e-05 -3.85213766815023e-05 -3.85213766815013e-05
3072 3 -7.37751567337574e-05 -7.37751567337631e-05 -7.37751567337657e-05
3584 3.5 -0.000145196847284438 -0.000145196847284432 -0.000145196847284433
4096 4 -0.000154904147761165 -0.000154904147761198 -0.000154904147761279
4608 4.5 -0.000165225450711277 -0.000165225450711276 -0.00016522545071153
5120 5 -0.000114243153845304 -0.000114243153845249 -0.000114243153845024
5632 5.5 -0.000110372287690476 -0.000110372287690568 -0.000110372287690204
6144 6 -0.000106440769971385 -0.000106440769971191 -0.000106440769971359
6656 6.5 -0.000102115669360706 -0.000102115669360943 -0.000102115669360464
7168 7 -0.000122724769993285 -0.000122724769993367 -0.00012272476999319
7680 7.5 -0.000108235202357056 -0.000108235202357679 -0.000108235202358041
8192 8 -0.000136833785176337 -0.000136833785176242 -0.000136833785176482
8704 8.5 -0.000150573673949674 -0.000150573673949342 -0.000150573673948589
9216 9 -0.000192730984412019 -0.000192730984412795 -0.00019273098441245
9728 9.5 -0.000178667433654082 -0.000178667433654254 -0.000178667433655088
10240 10 -0.00016685734058322 -0.000166857340583947 -0.000166857340582577
10752 10.5 -0.00015905803727059 -0.000159058037270818 -0.000159058037270649
11264 11 -0.00018992739241273 -0.000189927392413465 -0.000189927392411356
11776 11.5 -0.000181271579281295 -0.000181271579281957 -0.000181271579281873
12288 12 -0.000209609393249611 -0.000209609393250414 -0.00020960939325172
12800 12.5 -0.000227660294483765 -0.000227660294481812 -0.000227660294483178
13312 13 -0.000281053493293263 -0.000281053493293583 -0.000281053493293082
13824 13.5 -0.000344801421821156 -0.000344801421822121 -0.000344801421822825
14336 14 -0.000398536411100066 -0.000398536411100663 -0.000398536411099753
14848 14.5 -0.000303821865497199 -0.000303821865499295 -0.00030382186549875
15360 15 -0.000387353912708741 -0.000387353912707176 -0.000387353912708428
15872 15.5 -0.000538661238425194 -0.000538661238424469 -0.000538661238424921
16384 16 -0.000531374429197288 -0.000531374429197102 -0.000531374429197446
16896 16.5 -0.000649844783893557 -0.000649844783894025 -0.000649844783894745
17408 17 -0.000754547617764956 -0.000754547617766731 -0.000754547617766462
17920 17.5 -0.000575004075888476 -0.000575004075889937 -0.000575004075887533
18432 18 -0.000373095326499384 -0.000373095326497408 -0.000373095326498114
18944 18.5 -0.000281614686719722 -0.000281614686719187 -0.000281614686719345
19456 19 -0.000214312511107057 -0.000214312511109297 -0.000214312511106326
19968 19.5 -0.000267045114271146 -0.000267045114271258 -0.000267045114268305
20480 20 -0.000213395767782015 -0.000213395767780998 -0.000213395767780296
20992 20.5 -0.00018550015036819 -0.000185500150366803 -0.000185500150368434
21504 21 -0.00023487076648202 -0.000234870766483258 -0.000234870766484062
22016 21.5 -0.000277699917696946 -0.000277699917695369 -0.000277699917697101
22528 22 -0.000252267753570857 -0.000252267753568449 -0.000252267753568554
23040 22.5 -0.000254599703589775 -0.00025459970358985 -0.00025459970358942
23552 23 -0.000351837189338876 -0.000351837189339122 -0.000351837189342313
24064 23.5 -0.000368000494844921 -0.000368000494844543 -0.000368000494848776
24576 24 -0.0002948322900971 -0.000294832290096566 -0.00029483229010301
25088 24.5 -0.000435785078640083 -0.000435785078637149 -0.000435785078641162
25600 25 -0.000456076978704471 -0.000456076978705513 -0.00045607697870353
26112 25.5 -0.000604935247231683 -0.000604935247235431 -0.00060493524723398
26624 26 -0.000504220237510945 -0.000504220237513275 -0.000504220237514126
27136 26.5 -0.000310515948055727 -0.000310515948051392 -0.000310515948050595
27648 27 -0.000306899491309139 -0.000306899491309264 -0.000306899491310924
28160 27.5 -0.000293001312029282 -0.000293001312027489 -0.000293001312027342
28672 28 -0.00022481868393285 -0.000224818683931079 -0.000224818683928825
29184 28.5 -0.000238961240010263 -0.000238961240014818 -0.000238961240013161
29696 29 -0.000267427664569144 -0.000267427664569415 -0.000267427664570728
30208 29.5 -0.000217893432295844 -0.000217893432292463 -0.000217893432296381
30720 30 -0.000243505560928442 -0.000243505560932969 -0.000243505560931328
31232 30.5 -0.000357514198706552 -0.000357514198706147 -0.000357514198710293
31744 31 -0.000357702375060125 -0.000357702375056116 -0.000357702375061642
32256 31.5 -0.000234358483101938 -0.000234358483098756 -0.000234358483102084
32768 32 -0.000249034399027078 -0.000249034399025326 -0.000249034399026675
33280 32.5 -0.000282825545714229 -0.000282825545713627 -0.000282825545715356
33792 33 -0.000182327212370571 -0.000182327212371589 -0.000182327212373105
34304 33.5 -0.00020486336170716 -0.000204863361707662 -0.000204863361710943
34816 34 -0.00026108063986596 -0.000261080639867314 -0.000261080639871375
35328 34.5 -0.000223450965297582 -0.000223450965297422 -0.000223450965299863
35840 35 -0.000202828730273196 -0.000202828730274958 -0.000202828730274652
36352 35.5 -0.000205552990177271 -0.000205552990173392 -0.00020555299017486
36864 36 -0.000129856089604985 -0.000129856089603644 -0.000129856089604543
37376 36.5 -0.000127285602039868 -0.000127285602039909 -0.000127285602040076
37888 37 -0.000118636221380203 -0.000118636221379414 -0.000118636221379663
38400 37.5 -0.000109256901286538 -0.000109256901286703 -0.000109256901285876
38912 38 -0.000106802379881373 -0.000106802379878329 -0.000106802379879031
39424 38.5 -9.54723227501782e-05 -9.54723227526907e-05 -9.54723227515836e-05
39936 39 -8.8473837170075e-05 -8.84738371707715e-05 -8.84738371696622e-05
40448 39.5 -0.00015768192137364 -0.000157681921373859 -0.000157681921372905
40960 40 -0.000158996642950979 -0.000158996642950099 -0.000158996642950457
41472 40.5 -0.000117599999852884 -0.00011759999985432 -0.000117599999852902
41984 41 -0.000123027325445414 -0.000123027325444731 -0.000123027325444231
