# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 7.69312746631466e-07 7.69312746631467e-07 7.69312746631459e-07
1024 1 2.72922478939356e-06 2.72922478939356e-06 2.72922478939354e-06
1536 1.5 3.63424835102534e-06 3.63424835102534e-06 3.63424835102533e-06
2048 2 4.26960098168901e-06 4.269600981689e-06 4.269600981689e-06
2560 2.5 5.1428971229623e-06 5.1428971229623e-06 5.14289712296229e-06
3072 3 5.88851120381687e-06 5.88851120381686e-06 5.88851120381686e-06
3584 3.5 7.4029116066626e-06 7.40291160667368e-06 7.40291160666001e-06
4096 4 8.9213518146083e-06 8.92135181458951e-06 8.92135181458405e-06
4608 4.5 9.95030515554784e-06 9.95030515550417e-06 9.95030515550248e-06
5120 5 1.23349849075388e-05 1.23349849075303e-05 1.23349849075453e-05
5632 5.5 1.66946246498274e-05 1.66946246498207e-05 1.66946246498123e-05
6144 6 2.16201340601491e-05 2.16201340601956e-05 2.16201340601516e-05
6656 6.5 2.77916521057611e-05 2.77916521058066e-05 2.7791652105812e-05
7168 7 3.55318730856109e-05 3.55318730855867e-05 3.5531873085677e-05
7680 7.5 4.41113367183919e-05 4.41113367183273e-05 4.41113367183943e-05
8192 8 5.14509897720999e-05 5.14509897720991e-05 5.14509897720595e-05
8704 8.5 5.51280358135097e-05 5.51280358135914e-05 5.51280358134714e-05
9216 9 5.4641252131187e-05 5.46412521312307e-05 5.4641252131123e-05
9728 9.5 5.29167157396129e-05 5.29167157395683e-05 5.29167157395787e-05
10240 10 5.45762615747245e-05 5.45762615746713e-05 5.45762615748123e-05
10752 10.5 6.15267335705154e-05 6.15267335704904e-05 6.15267335706321e-05
11264 11 7.0379818885754e-05 7.03798188857004e-05 7.03798188856909e-05
11776 11.5 7.54400497460866e-05 7.54400497459694e-05 7.54400497458106e-05
12288 12 7.46516290886405e-05 7.46516290885835e-05 7.46516290884444e-05
12800 12.5 7.15564096060997e-05 7.15564096061937e-05 7.15564096062095e-05
13312 13 7.07635060019553e-05 7.07635060020789e-05 7.07635060021629e-05
13824 13.5 7.26740553111598e-05 7.26740553111811e-05 7.2674055311181e-05
14336 14 7.40104244081192e-05 7.40104244081051e-05 7.40104244080621e-05
14848 14.5 7.27441786790177e-05 7.27441786790638e-05 7.27441786791378e-05
15360 15 7.04359162229563e-05 7.04359162229866e-05 7.04359162231448e-05
15872 15.5 6.93151552148013e-05 6.93151552147068e-05 6.93151552147423e-05
16384 16 6.8919118380081e-05 6.89191183799605e-05 6.89191183798087e-05
16896 16.5 6.70831840159528e-05 6.70831840160309e-05 6.70831840158729e-05
17408 17 6.3325101065473e-05 6.33251010657448e-05 6.33251010657385e-05
17920 17.5 5.94854458515587e-05 5.94854458517134e-05 5.94854458517791e-05
18432 18 5.70528952933613e-05 5.70528952931578e-05 5.70528952931464e-05
18944 18.5 5.54099617109177e-05 5.54099617105533e-05 5.54099617105097e-05
19456 19 5.32725128582073e-05 5.32725128580567e-05 5.32725128581478e-05
19968 19.5 5.06958169135013e-05 5.06958169136301e-05 5.06958169138591e-05
20480 20 4.87499794501828e-05 4.87499794503611e-05 4.87499794504705e-05
20992 20.5 4.78069301543983e-05 4.78069301544166e-05 4.78069301542308e-05
21504 21 4.69849176019622e-05 4.69849176018655e-05 4.698491760158e-05
22016 21.5 4.50742442121411e-05 4.50742442120933e-05 4.50742442120227e-05
22528 22 4.14274089745004e-05 4.14274089745781e-05 4.14274089747331e-05
23040 22.5 3.60462351608939e-05 3.60462351610635e-05 3.60462351611751e-05
23552 23 2.9310880600589e-05 2.93108806007559e-05 2.93108806006873e-05
24064 23.5 2.182628408453e-05 2.18262840845699e-05 2.18262840845157e-05
24576 24 1.44622107217122e-05 1.44622107215578e-05 1.44622107217202e-05
25088 24.5 8.38986082233727e-06 8.389860822071e-06 8.38986082230143e-06
25600 25 5.64998106741249e-06 5.64998106753408e-06 5.6499810672575e-06
26112 25.5 5.20857906356785e-06 5.20857906403771e-06 5.20857906386863e-06
26624 26 5.37635480809518e-06 5.37635480818576e-06 5.37635480846312e-06
27136 26.5 5.90863671048537e-06 5.90863671037982e-06 5.9086367103068e-06
27648 27 6.38985178260566e-06 6.3898517828483e-06 6.38985178254596e-06
28160 27.5 6.56719291447443e-06 6.56719291447644e-06 6.56719291449401e-06
28672 28 6.46338612927692e-06 6.46338612895298e-06 6.46338612941073e-06
29184 28.5 6.28789782430926e-06 6.28789782402513e-06 6.2878978240642e-06
29696 29 6.15237433516528e-06 6.15237433548561e-06 6.15237433528205e-06
30208 29.5 5.899013740386e-06 5.89901374049193e-06 5.89901374037609e-06
30720 30 5.35817754618849e-06 5.35817754620463e-06 5.3581775462011e-06
31232 30.5 4.69312446004322e-06 4.6931244601407e-06 4.69312446025131e-06
31744 31 4.26704606755135e-06 4.267046067391e-06 4.26704606771446e-06
32256 31.5 4.21703490068634e-06 4.21703490038262e-06 4.2170349005253e-06
32768 32 4.3611684517778e-06 4.36116845176995e-06 4.36116845135213e-06
33280 32.5 4.47326978482456e-06 4.47326978541029e-06 4.47326978499948e-06
33792 33 4.47561772227587e-06 4.47561772231578e-06 4.47561772253149e-06
34304 33.5 4.42357459425512e-06 4.42357459389293e-06 4.42357459423429e-06
34816 34 4.43517527596494e-06 4.43517527576923e-06 4.43517527548403e-06
35328 34.5 4.56677872816047e-06 4.56677872830944e-06 4.56677872798281e-06
35840 35 4.69685521553269e-06 4.69685521587153e-06 4.69685521588796e-06
36352 35.5 4.65549195406038e-06 4.65549195428826e-06 4.65549195446849e-06
36864 36 4.48715849897749e-06 4.48715849899089e-06 4.48715849881621e-06
37376 36.5 4.40105412768328e-06 4.40105412769236e-06 4.40105412724552e-06
37888 37 4.44482353235746e-06 4.44482353237936e-06 4.44482353236498e-06
38400 37.5 4.44206615852809e-06 4.44206615875356e-06 4.44206615885026e-06
38912 38 4.27663998627974e-06 4.27663998632498e-06 4.27663998624948e-06
39424 38.5 4.03139825508713e-06 4.03139825508955e-06 4.03139825494507e-06
39936 39 3.81879995910487e-06 3.8187999590818e-06 3.81879995909793e-06
40448 39.5 3.64429043926688e-06 3.64429043932167e-06 3.6442904397469e-06
40960 40 3.48240927217874e-06 3.48240927228095e-06 3.48240927238983e-06
41472 40.5 3.31684124179693e-06 3.31684124187475e-06 3.31684124183244e-06
41984 41 3.07096920317775e-06 3.07096920308553e-06 3.0709692028955e-06
42496 41.5 2.68652213155554e-06 2.68652213149692e-06 2.68652213162173e-06
43008 42 2.2576287696364e-06 2.2576287697591e-06 2.25762876987678e-06
43520 42.5 1.94279334098356e-06 1.94279334143719e-06 1.94279334134826e-06
44032 43 1.75716927006716e-06 1.75716927010449e-06 1.75716927008726e-06
44544 43.5 1.55417164617851e-06 1.55417164619918e-06 1.55417164637469e-06
45056 44 1.20410851205337e-06 1.20410851187566e-06 1.20410851207106e-06
45568 44.5 7.40163140241828e-07 7.40163140497745e-07 7.40163140260159e-07
46080 45 6.06731289183172e-07 6.06731289417694e-07 6.0673128905223e-07
46592 45.5 4.55097922427864e-07 4.55097922747198e-07 4.55097922209066e-07
47104 46 2.76951139755732e-07 2.76951139725798e-07 2.76951139842672e-07
