# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.40650639037126e-07 -9.40650639037164e-07 -9.40650639037163e-07
1024 1 -3.635518700708e-06 -3.63551870070803e-06 -3.63551870070802e-06
1536 1.5 -5.90957441839285e-06 -5.90957441839285e-06 -5.90957441839285e-06
2048 2 -5.67266533286414e-06 -5.67266533286415e-06 -5.67266533286415e-06
2560 2.5 -6.12321609948888e-06 -6.12321609948885e-06 -6.12321609948883e-06
3072 3 -1.16755493060465e-05 -1.16755493060466e-05 -1.16755493060466e-05
3584 3.5 -1.48933835271316e-05 -1.48933835271317e-05 -1.48933835271318e-05
4096 4 -1.55553352844241e-05 -1.55553352844239e-05 -1.55553352844244e-05
4608 4.5 -1.77179242038252e-05 -1.77179242038257e-05 -1.77179242038264e-05
5120 5 -2.20064205744874e-05 -2.20064205744635e-05 -2.20064205744602e-05
5632 5.5 -2.6211090953009e-05 -2.62110909529414e-05 -2.62110909529308e-05
6144 6 -2.97079670167745e-05 -2.97079670167514e-05 -2.97079670167437e-05
6656 6.5 -3.33499403378463e-05 -3.33499403379113e-05 -3.33499403379051e-05
7168 7 -3.68479536790824e-05 -3.68479536791087e-05 -3.68479536791153e-05
7680 7.5 -3.97100746646611e-05 -3.97100746645916e-05 -3.97100746646184e-05
8192 8 -4.42906786444863e-05 -4.42906786444126e-05 -4.42906786444284e-05
8704 8.5 -5.04382439030671e-05 -5.04382439030576e-05 -5.04382439030806e-05
9216 9 -5.61447090206308e-05 -5.61447090208141e-05 -5.61447090208916e-05
9728 9.5 -6.18741897738494e-05 -6.18741897738761e-05 -6.18741897738349e-05
10240 10 -6.69446386402283e-05 -6.69446386400177e-05 -6.69446386398704e-05
10752 10.5 -7.07256936121495e-05 -7.07256936121007e-05 -7.07256936121105e-05
11264 11 -7.45642150836396e-05 -7.45642150838673e-05 -7.4564215083928e-05
11776 11.5 -7.99078594463729e-05 -7.9907859446474e-05 -7.9907859446293e-05
12288 12 -8.60124134683682e-05 -8.60124134681827e-05 -8.60124134679767e-05
12800 12.5 -9.16691232050416e-05 -9.16691232049567e-05 -9.16691232050064e-05
13312 13 -9.71567522508366e-05 -9.71567522509914e-05 -9.71567522511045e-05
13824 13.5 -0.000102736533043465 -0.000102736533043537 -0.000102736533043528
14336 14 -0.000107525426476615 -0.00010752542647648 -0.000107525426476518
14848 14.5 -0.000111248796871423 -0.000111248796871389 -0.000111248796871472
