# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 7.71038699150085 0 4.37488579750061 0 3.42953109741211 0 0 0 0 0 0 0 0 0 23.3847915090851 34192.1628465145 0 34192.1628465145 160 427471 2383 425088 0 0 0 0 7.70818376541138 1735404666.26934 266
512 0.5 172.197211228665 172.197211228665 18.2777178287506 10.4531309604645 14.8343014717102 0 3.44536113739014 3 22895.3412049633 22895.3412049633 239328 239328 11241.0339490073 11241.0339490073 117504 117504 52.8544855250754 128211.913467082 4762.4214732182 123449.491993864 186 441684 16596 425088 0 0 0 0 18.2538180351257 1735404676.83667 905
1024 1 266.438357227949 227.592355802968 21.3361549377441 13.511568069458 17.7794013023376 0 3.61991667747498 6 35425.6439770281 35425.6439770281 478656 478656 17393.0959598405 17393.0959598405 235008 235008 68.601883912073 125980.049767712 5006.81290453359 120973.236863178 284 456911 17999 438912 0 0 0 0 21.2979934215546 1735404679.89511 1544
1536 1.5 317.909761892774 242.546581807947 24.8105390071869 16.9859521389008 21.158105134964 0 3.65424609184265 9 42269.2819412633 42269.2819412633 717984 717984 20753.1492563603 20753.1492563603 352512 352512 83.779750901764 125424.310480725 5254.57836374724 120169.732116977 310 458304 19392 438912 0 0 0 0 24.74400639534 1735404683.3695 2183
2048 2 349.099456239739 259.312379176941 28.4490818977356 20.6244950294495 24.6193628311157 0 3.93364596366882 12 46416.2637016357 46416.2637016357 957312 957312 22789.2125033301 22789.2125033301 470016 470016 107.057461100369 149771.821384864 5385.25140910736 144386.569975757 492 884812 20812 864000 0 0 0 0 28.3695516586304 1735404687.00804 2822
2560 2.5 297.733433667471 267.007328138205 38.0529689788818 30.2283821105957 34.1077063083649 0 3.94713354110718 15 39586.6373404269 39586.6373404269 1196640 1196640 19436.0385498125 19436.0385498125 587520 587520 130.282833597148 224573.893804618 5577.06845843976 218996.825346178 518 886202 22202 864000 0 0 0 0 37.9567782878876 1735404696.61193 3461
3072 3 319.224184557503 271.847830052703 41.6566100120544 33.8320231437683 37.6164910793304 0 4.11487674713135 18 42444.0475787656 42444.0475787656 1435968 1435968 20838.9547679138 20838.9547679138 705024 705024 142.570060335239 220940.772998026 5802.55195215104 215138.221045875 616 901460 23636 877824 0 0 0 0 41.5472514629364 1735404700.21557 4100
3584 3.5 334.046504256309 277.654306079326 45.5438859462738 37.7192990779877 41.4091787338257 0 4.14419603347778 21 44414.8232059188 44414.8232059188 1675296 1675296 21806.5557978519 21806.5557978519 822528 822528 154.303549736052 218311.951395839 6005.74568502451 212306.205710815 642 902856 25032 877824 0 0 0 0 45.422087430954 1735404704.10284 4739
4096 4 346.102245923507 283.536218500545 49.4307889938354 41.6062021255493 45.1249477863312 0 4.40749168395996 24 46017.7546179895 46017.7546179895 1914624 1914624 22593.5546138865 22593.5546138865 940032 940032 172.32405103719 236453.91247257 6098.92439930948 230354.98807326 824 1329364 26452 1302912 0 0 0 0 49.2877752780914 1735404707.98975 5378
4608 4.5 355.326461875609 289.322633480039 53.4164628982544 45.5918760299683 49.0013387203217 0 4.42370820045471 27 47244.2063709809 47244.2063709809 2153952 2153952 23195.7114312397 23195.7114312397 1057536 1057536 191.614089639516 301363.437669605 6261.43204265299 295102.005626952 850 1330758 27846 1302912 0 0 0 0 53.2686131000519 1735404711.97542 6017
