# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235231730899377
512 0.5 0.0235231730908637
1024 1 0.0235231730945587
1536 1.5 0.0235231731022593
2048 2 0.0235231731150681
2560 2.5 0.0235231731335384
3072 3 0.0235231731584784
3584 3.5 0.0235231731909651
4096 4 0.023523173229362
4608 4.5 0.0235231732738575
5120 5 0.023523173324129
5632 5.5 0.0235231733814028
6144 6 0.0235231734450671
6656 6.5 0.0235231735170652
7168 7 0.0235231735956019
7680 7.5 0.0235231736798552
8192 8 0.0235231737701891
8704 8.5 0.0235231738691421
9216 9 0.0235231739739408
9728 9.5 0.0235231740835577
10240 10 0.0235231741987579
10752 10.5 0.0235231743196498
11264 11 0.023523174446815
11776 11.5 0.023523174582386
12288 12 0.0235231747211838
12800 12.5 0.0235231748696746
13312 13 0.0235231750230139
13824 13.5 0.0235231751815724
14336 14 0.0235231753458842
14848 14.5 0.0235231755161515
15360 15 0.0235231756944335
15872 15.5 0.023523175879838
16384 16 0.0235231760693723
16896 16.5 0.023523176262924
17408 17 0.023523176459942
17920 17.5 0.023523176661334
18432 18 0.0235231768656078
18944 18.5 0.0235231770714695
19456 19 0.0235231772809387
19968 19.5 0.0235231774955493
20480 20 0.0235231777194878
20992 20.5 0.0235231779446703
21504 21 0.0235231781720502
22016 21.5 0.0235231784028814
22528 22 0.0235231786361992
23040 22.5 0.0235231788699135
23552 23 0.0235231791048388
24064 23.5 0.0235231793440775
24576 24 0.0235231795865083
