# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.127999999244924
512 0.5 0.127701724593844
1024 1 0.127415701145977
1536 1.5 0.127147662514466
2048 2 0.126895943776926
2560 2.5 0.126662346791661
3072 3 0.126449189738094
3584 3.5 0.126272512046933
4096 4 0.126128488482858
4608 4.5 0.126017812774967
5120 5 0.125940639415675
5632 5.5 0.125896465209051
6144 6 0.125883966286768
6656 6.5 0.12590084593245
7168 7 0.125943959002448
7680 7.5 0.12600971675958
8192 8 0.12609445483818
8704 8.5 0.126194462780826
9216 9 0.126305826820062
9728 9.5 0.12642459587969
10240 10 0.12654724911979
10752 10.5 0.126670901913352
11264 11 0.126792815845825
11776 11.5 0.126909989551679
12288 12 0.127019790255039
12800 12.5 0.127120980449131
13312 13 0.127213461035318
13824 13.5 0.127296792413913
14336 14 0.127369729981939
14848 14.5 0.127431503393537
15360 15 0.127482764634722
15872 15.5 0.12752453999547
16384 16 0.127556811072243
16896 16.5 0.127579070602854
17408 17 0.127591998039913
17920 17.5 0.127597538524759
18432 18 0.127597194226901
18944 18.5 0.1275910764181
19456 19 0.127578959661166
19968 19.5 0.127561609999036
20480 20 0.127540588230301
20992 20.5 0.127517116113111
21504 21 0.127491607770722
22016 21.5 0.127464127025221
22528 22 0.12743481195983
23040 22.5 0.127403749791093
23552 23 0.127370739096611
24064 23.5 0.127335430631863
24576 24 0.127297682376704
25088 24.5 0.12725759383498
25600 25 0.127215048130826
26112 25.5 0.12716927780172
26624 26 0.12711913351466
27136 26.5 0.127063971480881
27648 27 0.127004192570061
28160 27.5 0.126940718775014
28672 28 0.126873942127266
29184 28.5 0.126803297073967
29696 29 0.126727780987865
30208 29.5 0.126646712931739
30720 30 0.12656008714281
31232 30.5 0.126468539642225
31744 31 0.126373069303469
32256 31.5 0.126274475910147
32768 32 0.126172813449913
33280 32.5 0.126067530255023
33792 33 0.125958379508642
34304 33.5 0.125846162658392
34816 34 0.125732421789093
35328 34.5 0.125618398768123
35840 35 0.12550437650226
36352 35.5 0.125389999729725
36864 36 0.12527514230423
37376 36.5 0.125160494811456
37888 37 0.125047404573362
38400 37.5 0.124937132535925
38912 38 0.124830149382402
39424 38.5 0.124726096196044
39936 39 0.124624543831376
40448 39.5 0.124525847787591
40960 40 0.124431181229278
41472 40.5 0.124341620011487
41984 41 0.124257212677589
42496 41.5 0.124177104757828
43008 42 0.12410066498586
43520 42.5 0.124028345511691
44032 43 0.123961230706237
44544 43.5 0.123899805649261
45056 44 0.123843479760003
45568 44.5 0.123791449378437
46080 45 0.123743734472779
46592 45.5 0.123701032595563
47104 46 0.123663681375922
47616 46.5 0.123631186696005
48128 47 0.123602900590292
48640 47.5 0.12357880933868
49152 48 0.123559316339491
49664 48.5 0.123544397091926
50176 49 0.123533377895893
50688 49.5 0.12352565078254
51200 50 0.123521300795583
51712 50.5 0.123520765057509
52224 51 0.123523986868484
52736 51.5 0.123530201396762
53248 52 0.123538642602592
53760 52.5 0.123549264580649
54272 53 0.123562562079521
54784 53.5 0.12357873112399
55296 54 0.123597248252241
55808 54.5 0.123617386373423
56320 55 0.123638948544527
56832 55.5 0.123662248042128
57344 56 0.123687440927449
57856 56.5 0.123714193612376
58368 57 0.123742093778203
58880 57.5 0.123771092993083
59392 58 0.123801307558056
59904 58.5 0.123832576905213
60416 59 0.123864550400318
60928 59.5 0.123897165457905
61440 60 0.123930690509313
61952 60.5 0.123965187414399
62464 61 0.124000223995417
62976 61.5 0.124035339216154
63488 62 0.124070593063748
64000 62.5 0.12410636256248
64512 63 0.124142682166531
65024 63.5 0.124179118672981
65536 64 0.124215341086532
66048 64.5 0.124251489263066
66560 65 0.124287794450457
67072 65.5 0.124324077768125
67584 66 0.124359908696221
68096 66.5 0.124395150594704
68608 67 0.124430043955313
69120 67.5 0.124464736098426
69632 68 0.124498999615889
70144 68.5 0.124532516327594
70656 69 0.124565225244454
71168 69.5 0.124597240431603
71680 70 0.12462859266692
72192 70.5 0.124659251654982
72704 71 0.124689299974808
73216 71.5 0.124718842385137
73728 72 0.124747741091044
74240 72.5 0.124775665278778
74752 73 0.124802501294498
75264 73.5 0.124828567970881
75776 74 0.12485429252136
76288 74.5 0.124879736322558
76800 75 0.124904554121278
77312 75.5 0.124928402261709
77824 76 0.12495130294427
78336 76.5 0.124973607093756
78848 77 0.12499565774656
79360 77.5 0.125017493657511
79872 78 0.125038847148264
80384 78.5 0.125059441790934
80896 79 0.125079319027692
81408 79.5 0.125098834997178
81920 80 0.125118282097561
82432 80.5 0.125137561493529
82944 81 0.125156339982686
83456 81.5 0.125174527613077
83968 82 0.125192451852659
84480 82.5 0.125210468664055
84992 83 0.125228518267781
85504 83.5 0.125246241282045
86016 84 0.125263515138669
86528 84.5 0.125280677705655
87040 85 0.125298120134893
87552 85.5 0.125315796217049
88064 86 0.125333313282034
88576 86.5 0.12535048324131
89088 87 0.125367604571744
89600 87.5 0.125385117878974
90112 88 0.125403093179536
90624 88.5 0.125421194667257
91136 89 0.125439140251977
91648 89.5 0.125457068844596
92160 90 0.12547537979268
92672 90.5 0.125494271609022
93184 91 0.125513549030156
93696 91.5 0.125532904225216
94208 92 0.125552296951669
94720 92.5 0.125571978374579
95232 93 0.125592179366902
95744 93.5 0.125612876248789
96256 94 0.125633881660728
96768 94.5 0.125655077955186
97280 95 0.125676502925239
97792 95.5 0.125698265796671
98304 96 0.125720456789459
98816 96.5 0.125743107132916
99328 97 0.125766152393541
99840 97.5 0.125789445807005
100352 98 0.125812901169246
100864 98.5 0.125836636010882
101376 99 0.125860874445784
101888 99.5 0.125885663744501
102400 100 0.125910783428473
102912 100.5 0.125936018193547
103424 101 0.125961446865356
103936 101.5 0.125987345115278
104448 102 0.126013833277606
104960 102.5 0.126040745971941
105472 103 0.126067864818372
105984 103.5 0.126095168724891
106496 104 0.126122805722694
107008 104.5 0.126150901492061
107520 105 0.126179461545037
108032 105.5 0.126208409896873
108544 106 0.126237657276738
109056 106.5 0.126267155549876
109568 107 0.126296937767407
110080 107.5 0.126327094351533
110592 108 0.126357674246172
111104 108.5 0.126388619100748
111616 109 0.126419819110265
112128 109.5 0.126451216955902
112640 110 0.126482832907156
113152 110.5 0.126514710156002
113664 111 0.126546868263577
114176 111.5 0.126579291179843
114688 112 0.126611918026328
115200 112.5 0.126644651971276
115712 113 0.126677425159337
116224 113.5 0.126710265675453
116736 114 0.126743257928763
117248 114.5 0.126776410067169
117760 115 0.126809591273182
118272 115.5 0.126842638601401
118784 116 0.126875512449935
119296 116.5 0.126908303878013
119808 117 0.126941082302546
120320 117.5 0.126973774514697
120832 118 0.127006219539184
121344 118.5 0.127038319753856
121856 119 0.127070100158824
122368 119.5 0.127101616790977
122880 120 0.127132841956096
123392 120.5 0.127163668802483
123904 121 0.127194017054614
124416 121.5 0.127223892270748
124928 122 0.127253317655805
125440 122.5 0.127282237798895
125952 123 0.127310542588618
126464 123.5 0.127338189700911
126976 124 0.127365244001606
127488 124.5 0.127391753948731
128000 125 0.127417629973414
128512 125.5 0.127442712491976
129024 126 0.127466951714629
129536 126.5 0.127490446843305
130048 127 0.127513282429013
130560 127.5 0.127535388114704
131072 128 0.127556611361757
131584 128.5 0.127576889526767
132096 129 0.127596284437371
132608 129.5 0.12761485783202
133120 130 0.127632579217685
133632 130.5 0.127649373187456
134144 131 0.127665201848241
134656 131.5 0.127680062200564
135168 132 0.127693937996661
135680 132.5 0.127706804837639
136192 133 0.127718672054446
136704 133.5 0.127729569035842
137216 134 0.127739477542998
137728 134.5 0.127748317141879
138240 135 0.127756027021936
138752 135.5 0.127762641023718
139264 136 0.127768245589566
139776 136.5 0.127772864055925
140288 137 0.127776414365698
140800 137.5 0.127778797770216
141312 138 0.127780010494534
141824 138.5 0.12778014185345
142336 139 0.127779263952542
142848 139.5 0.127777349890581
143360 140 0.127774316672495
143872 140.5 0.127770131248446
144384 141 0.127764845052689
144896 141.5 0.127758524324592
145408 142 0.127751179590182
145920 142.5 0.127742784425999
146432 143 0.127733339236853
146944 143.5 0.127722879539208
147456 144 0.127711427278721
147968 144.5 0.127698977198032
148480 145 0.127685548067946
148992 145.5 0.127671210907915
149504 146 0.127656031153441
150016 146.5 0.127640003210363
150528 147 0.127623087474659
151040 147.5 0.127605311633166
151552 148 0.127586788884558
152064 148.5 0.127567615590449
152576 149 0.127547788629673
153088 149.5 0.127527260930669
153600 150 0.127506057292901
154112 150.5 0.127484288595556
154624 151 0.127462050340015
155136 151.5 0.127439351063489
155648 152 0.12741616262679
156160 152.5 0.127392510349525
156672 153 0.127368478253614
157184 153.5 0.127344135531895
157696 154 0.12731949458954
158208 154.5 0.127294550899008
158720 155 0.127269336887565
159232 155.5 0.127243915164766
159744 156 0.127218331687637
160256 156.5 0.127192598433043
160768 157 0.127166719356108
161280 157.5 0.127140714437397
161792 158 0.127114616490848
162304 158.5 0.127088459592387
162816 159 0.127062272201039
163328 159.5 0.12703606562835
163840 160 0.127009827326039
164352 160.5 0.126983546009481
164864 161 0.126957250709306
165376 161.5 0.126931001737546
165888 162 0.126904827022671
166400 162.5 0.126878689648614
166912 163 0.126852545051834
167424 163.5 0.126826415648798
167936 164 0.126800374541089
168448 164.5 0.12677445767624
168960 165 0.126748628386797
169472 165.5 0.126722841262797
169984 166 0.126697111078065
170496 166.5 0.12667149414326
171008 167 0.126646018444461
171520 167.5 0.126620661561738
172032 168 0.126595396692458
172544 168.5 0.126570235736662
173056 169 0.126545216041023
173568 169.5 0.126520359406363
174080 170 0.126495660412986
174592 170.5 0.126471111305964
175104 171 0.12644672291111
175616 171.5 0.126422517084289
176128 172 0.126398511188806
176640 172.5 0.126374719476888
177152 173 0.126351160803128
177664 173.5 0.126327851347081
178176 174 0.126304794116359
178688 174.5 0.126281992148655
179200 175 0.126259473338564
179712 175.5 0.126237284438877
180224 176 0.126215452147201
180736 176.5 0.126193965458545
181248 177 0.126172810672145
181760 177.5 0.126152013250348
182272 178 0.126131626795346
182784 178.5 0.126111684421749
183296 179 0.126092180148998
183808 179.5 0.126073101105237
184320 180 0.126054459973269
184832 180.5 0.126036286118459
185344 181 0.126018598783109
185856 181.5 0.126001403258017
186368 182 0.125984704904605
186880 182.5 0.125968510359793
187392 183 0.125952817409571
187904 183.5 0.125937619590169
188416 184 0.125922922660147
188928 184.5 0.125908742584152
189440 185 0.125895083203087
189952 185.5 0.125881928630994
190464 186 0.125869263298504
190976 186.5 0.125857087080524
191488 187 0.125845402680331
192000 187.5 0.125834199616328
192512 188 0.125823461310862
193024 188.5 0.125813178653259
193536 189 0.12580334421321
194048 189.5 0.125793939691342
194560 190 0.125784942265232
195072 190.5 0.125776339955537
195584 191 0.125768128854311
196096 191.5 0.125760296854571
196608 192 0.125752820747534
197120 192.5 0.125745678652915
197632 193 0.125738855993249
198144 193.5 0.125732340110305
198656 194 0.125726118655975
199168 194.5 0.125720183762563
199680 195 0.125714528783564
200192 195.5 0.125709139529285
200704 196 0.125703997446932
201216 196.5 0.125699094379451
201728 197 0.125694436474651
202240 197.5 0.125690029723684
202752 198 0.125685869100122
203264 198.5 0.125681947491149
203776 199 0.125678268387715
204288 199.5 0.125674841691737
204800 200 0.125671672412703
205312 200.5 0.125668764377009
205824 201 0.125666132608213
206336 201.5 0.125663798558982
206848 202 0.125661770419375
207360 202.5 0.125660041828688
207872 203 0.12565861844475
208384 203.5 0.125657534311539
208896 204 0.125656827958144
209408 204.5 0.125656508037035
209920 205 0.125656559003989
210432 205.5 0.125656981517849
210944 206 0.125657810847878
211456 206.5 0.125659087594071
211968 207 0.125660822844896
212480 207.5 0.125663004679071
212992 208 0.125665631556368
213504 208.5 0.125668723896599
214016 209 0.125672303276961
214528 209.5 0.125676374746609
215040 210 0.125680934823479
215552 210.5 0.125685985509212
216064 211 0.125691531348115
216576 211.5 0.125697569454799
217088 212 0.125704092449416
217600 212.5 0.125711098094116
218112 213 0.125718586459405
218624 213.5 0.125726548525521
219136 214 0.125734966985084
219648 214.5 0.125743829207031
220160 215 0.125753129819876
220672 215.5 0.125762857330967
221184 216 0.125772987996016
221696 216.5 0.125783499406477
222208 217 0.1257943813251
222720 217.5 0.125805622820599
223232 218 0.125817194866599
223744 218.5 0.125829059707565
224256 219 0.125841196792468
224768 219.5 0.125853604739925
225280 220 0.125866272980891
225792 220.5 0.125879165236927
226304 221 0.125892241472288
226816 221.5 0.125905486653593
227328 222 0.125918904273421
227840 222.5 0.125932486089434
228352 223 0.125946203323958
228864 223.5 0.125960029226455
229376 224 0.125973957109723
229888 224.5 0.125987989963124
230400 225 0.126002121804797
230912 225.5 0.126016338387807
231424 226 0.126030631821874
231936 226.5 0.126045005196746
232448 227 0.126059462585521
232960 227.5 0.126074001639502
233472 228 0.126088619210016
233984 228.5 0.126103320368527
234496 229 0.12611811774203
235008 229.5 0.126133022456085
235520 230 0.126148038537525
236032 230.5 0.126163167402077
236544 231 0.126178416738009
237056 231.5 0.126193803063842
237568 232 0.126209344268485
238080 232.5 0.126225050108386
238592 233 0.126240922094699
239104 233.5 0.126256963724725
239616 234 0.126273188474733
240128 234.5 0.126289614457187
240640 235 0.126306251883457
241152 235.5 0.126323099923225
241664 236 0.126340157024085
242176 236.5 0.126357429716905
242688 237 0.126374927360959
243200 237.5 0.126392651216219
