# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00455543169554168 -0.00455543169554168 -0.00455543169554168
1024 1 -0.00900326771949779 -0.00900326771949779 -0.00900326771949779
1536 1.5 -0.0132803616817401 -0.0132803616817401 -0.0132803616817401
2048 2 -0.0175531257871039 -0.0175531257871039 -0.0175531257871039
2560 2.5 -0.0219219405409644 -0.0219219405409644 -0.0219219405409644
3072 3 -0.0262854850336146 -0.0262854850336146 -0.0262854850336146
3584 3.5 -0.030619131563678 -0.030619131563678 -0.030619131563678
4096 4 -0.0349111763885051 -0.0349111763885051 -0.0349111763885051
4608 4.5 -0.0391400615473142 -0.0391400615473142 -0.0391400615473142
5120 5 -0.0432897648944607 -0.0432897648944607 -0.0432897648944607
5632 5.5 -0.0473487556843581 -0.0473487556843581 -0.0473487556843581
6144 6 -0.0513101470104276 -0.0513101470104276 -0.0513101470104276
6656 6.5 -0.0552265726763882 -0.0552265726763882 -0.0552265726763881
7168 7 -0.0593489632901186 -0.0593489632901186 -0.0593489632901185
7680 7.5 -0.0633853428484879 -0.0633853428484879 -0.0633853428484879
8192 8 -0.0673395966653202 -0.06733959666532 -0.06733959666532
8704 8.5 -0.071208041450682 -0.0712080414506817 -0.0712080414506818
9216 9 -0.0749819490962838 -0.074981949096284 -0.0749819490962838
9728 9.5 -0.0786592531988805 -0.0786592531988807 -0.0786592531988808
10240 10 -0.082244101752346 -0.0822441017523462 -0.0822441017523464
10752 10.5 -0.0857377338535449 -0.0857377338535451 -0.0857377338535451
11264 11 -0.0891362480567666 -0.0891362480567667 -0.0891362480567665
11776 11.5 -0.0924363902792272 -0.0924363902792273 -0.092436390279227
12288 12 -0.0956401103517066 -0.0956401103517068 -0.0956401103517067
12800 12.5 -0.098752221644503 -0.0987522216445032 -0.0987522216445033
13312 13 -0.101775784345304 -0.101775784345304 -0.101775784345304
13824 13.5 -0.104712118547189 -0.104712118547189 -0.104712118547189
14336 14 -0.107563621475368 -0.107563621475368 -0.107563621475368
14848 14.5 -0.110332985790125 -0.110332985790124 -0.110332985790125
15360 15 -0.113022820038111 -0.113022820038111 -0.113022820038111
15872 15.5 -0.11563692718352 -0.11563692718352 -0.11563692718352
16384 16 -0.11817873581651 -0.11817873581651 -0.11817873581651
16896 16.5 -0.120651593326371 -0.120651593326371 -0.120651593326371
17408 17 -0.123062194103996 -0.123062194103996 -0.123062194103996
17920 17.5 -0.125417726766421 -0.125417726766421 -0.125417726766421
18432 18 -0.127719984558365 -0.127719984558365 -0.127719984558365
18944 18.5 -0.129966588578504 -0.129966588578503 -0.129966588578504
19456 19 -0.132159718162805 -0.132159718162805 -0.132159718162805
19968 19.5 -0.134306289306996 -0.134306289306997 -0.134306289306997
20480 20 -0.136413168309429 -0.136413168309429 -0.136413168309428
20992 20.5 -0.138485352947257 -0.138485352947256 -0.138485352947256
21504 21 -0.140526338479915 -0.140526338479915 -0.140526338479916
