# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00064040753729
1024 1 1.0005452754683
1536 1.5 1.00046102119637
2048 2 1.00038703905752
2560 2.5 1.00040972855794
3072 3 1.00058573452209
3584 3.5 1.00079055498933
4096 4 1.00102239974448
4608 4.5 1.00127920265842
5120 5 1.00155504645126
5632 5.5 1.00184627984022
6144 6 1.00215195001836
6656 6.5 1.00246915302013
7168 7 1.0027950050767
7680 7.5 1.00312674764194
8192 8 1.00346183628862
8704 8.5 1.00379803704931
9216 9 1.00413296649871
9728 9.5 1.00449248484908
10240 10 1.00501761365832
10752 10.5 1.00556265256517
11264 11 1.00612493320582
11776 11.5 1.00670179574162
12288 12 1.00729062571455
12800 12.5 1.00788874216895
13312 13 1.00849344732161
13824 13.5 1.00910120983137
14336 14 1.00970939952257
14848 14.5 1.01031593182498
15360 15 1.01091891067549
15872 15.5 1.01155965672388
16384 16 1.01226939387531
16896 16.5 1.01297806277924
17408 17 1.01367978660281
17920 17.5 1.01437113461395
18432 18 1.0150499163836
18944 18.5 1.01571454678234
19456 19 1.01636419157378
19968 19.5 1.01699865915514
20480 20 1.01761789976569
20992 20.5 1.01822162767588
21504 21 1.01880893317563
22016 21.5 1.01937852147107
22528 22 1.01992930999452
23040 22.5 1.02046086375801
23552 23 1.02097327584429
24064 23.5 1.02146681260631
24576 24 1.02194157990765
25088 24.5 1.02239770171485
25600 25 1.02283612868672
26112 25.5 1.02325660567884
26624 26 1.02365808190827
27136 26.5 1.0240399045161
27648 27 1.024401641993
28160 27.5 1.02474323354493
28672 28 1.02506481390488
29184 28.5 1.02536667574409
29696 29 1.02564893891285
30208 29.5 1.02591155425393
30720 30 1.02615462285349
31232 30.5 1.02637830877376
31744 31 1.02658292898948
32256 31.5 1.02676866337253
32768 32 1.02693579686349
33280 32.5 1.02708496295774
33792 33 1.02721689479831
34304 33.5 1.02733211477263
34816 34 1.02743108490029
35328 34.5 1.02751450131417
35840 35 1.02758319256718
36352 35.5 1.02763790999971
36864 36 1.02767964166857
37376 36.5 1.0277093639262
37888 37 1.02772813822718
38400 37.5 1.02773709907773
38912 38 1.02773731151207
39424 38.5 1.02785973019797
39936 39 1.02826409475102
40448 39.5 1.02866068723835
40960 40 1.02905016741431
41472 40.5 1.02943352489373
41984 41 1.02981025946593
42496 41.5 1.0301785531499
43008 42 1.03053657445085
43520 42.5 1.0308839643514
44032 43 1.03122125108707
44544 43.5 1.03154803614125
45056 44 1.03186262366158
45568 44.5 1.03216345570552
46080 45 1.0324503749438
46592 45.5 1.03272296252455
47104 46 1.03297537874051
47616 46.5 1.03320555210573
48128 47 1.03341241646167
48640 47.5 1.03359617635694
49152 48 1.03375769974128
49664 48.5 1.03389707652364
50176 49 1.03401432558615
50688 49.5 1.03411375229136
51200 50 1.03419579173044
51712 50.5 1.03426213554894
52224 51 1.03431181970161
52736 51.5 1.03434301624497
53248 52 1.03434831020003
53760 52.5 1.03431274566528
54272 53 1.03423985247971
54784 53.5 1.03413259301326
55296 54 1.0339914017162
55808 54.5 1.03381824256765
56320 55 1.03361506177061
56832 55.5 1.03338443749851
57344 56 1.03313266610795
57856 56.5 1.03290756793553
58368 57 1.03296990631086
58880 57.5 1.03312280971381
59392 58 1.03327672999372
59904 58.5 1.03343260185417
60416 59 1.03359067748538
60928 59.5 1.03376555430154
61440 60 1.03392526251538
61952 60.5 1.03408838877487
62464 61 1.03425545430244
62976 61.5 1.03442533683496
63488 62 1.03459737935947
64000 62.5 1.03477167825025
64512 63 1.03494887137742
65024 63.5 1.03512940490341
65536 64 1.03531386715502
66048 64.5 1.03550284415691
66560 65 1.03569599615106
67072 65.5 1.03589276905163
67584 66 1.03609293937466
68096 66.5 1.03629652588656
68608 67 1.03650265752785
69120 67.5 1.03671060252516
69632 68 1.03692047359209
70144 68.5 1.0371337376512
70656 69 1.03735134377996
71168 69.5 1.03757363480815
71680 70 1.03780345616742
72192 70.5 1.03804324573588
72704 71 1.03829499078147
73216 71.5 1.03856091328493
73728 72 1.03884914356903
74240 72.5 1.03915308578457
74752 73 1.0394712280295
75264 73.5 1.03979976418651
75776 74 1.0401388784237
76288 74.5 1.04049165035956
76800 75 1.04085714682314
77312 75.5 1.04123057613852
77824 76 1.0416122280298
78336 76.5 1.04199679925242
78848 77 1.04237689017086
79360 77.5 1.04275397826094
79872 78 1.04313118119303
80384 78.5 1.04355757312946
80896 79 1.04386759741054
81408 79.5 1.04406330472789
81920 80 1.04426837625888
82432 80.5 1.04447900128739
82944 81 1.04469278710935
83456 81.5 1.04490289002928
83968 82 1.04509919431767
84480 82.5 1.04528426979578
84992 83 1.04545719983764
85504 83.5 1.04567567929008
86016 84 1.04588260065945
86528 84.5 1.04604572263278
87040 85 1.04626422317996
87552 85.5 1.04646463370131
88064 86 1.04664794640844
88576 86.5 1.04681540769185
89088 87 1.04696824485946
89600 87.5 1.04710758389181
90112 88 1.04723420213048
90624 88.5 1.04734850462561
91136 89 1.04745098893587
91648 89.5 1.04754228323498
92160 90 1.0476230201721
92672 90.5 1.04769356439059
93184 91 1.04775428259833
93696 91.5 1.04780559528319
94208 92 1.04784606711458
94720 92.5 1.0478726580459
95232 93 1.04788424229666
95744 93.5 1.04788107575912
96256 94 1.04786401987431
96768 94.5 1.04783386766285
97280 95 1.04779137975163
97792 95.5 1.04773755641294
98304 96 1.04767213532736
98816 96.5 1.04759172710655
99328 97 1.047494337304
99840 97.5 1.04737973376754
100352 98 1.04724806467307
100864 98.5 1.04709997997192
101376 99 1.04693663649998
101888 99.5 1.04675956671899
102400 100 1.04657081714313
102912 100.5 1.0463726915631
103424 101 1.04616718263545
103936 101.5 1.04595573632913
104448 102 1.04574024458833
104960 102.5 1.04552286729852
105472 103 1.04530480526632
105984 103.5 1.04508641205856
106496 104 1.04486895466354
107008 104.5 1.04465315265849
107520 105 1.04443994625499
108032 105.5 1.04435493679799
108544 106 1.04502645313277
109056 106.5 1.04585500421157
109568 107 1.04670138716605
110080 107.5 1.04719767626812
110592 108 1.04740155055677
111104 108.5 1.04757042413356
111616 109 1.04772276055738
112128 109.5 1.0478602785853
112640 110 1.04798196346624
113152 110.5 1.04808708757944
113664 111 1.04818222758204
114176 111.5 1.04826144858449
114688 112 1.04831206406073
115200 112.5 1.04833221208507
115712 113 1.04832370331435
116224 113.5 1.04828838237082
116736 114 1.0482311254387
117248 114.5 1.04814119055937
117760 115 1.04807534288536
118272 115.5 1.04795532725278
118784 116 1.04779148818134
119296 116.5 1.04762610664995
119808 117 1.04747175293414
120320 117.5 1.04732563344345
120832 118 1.04718415770782
121344 118.5 1.04704161322612
121856 119 1.04689288978886
122368 119.5 1.04740966284523
122880 120 1.04824619330052
123392 120.5 1.04809749260932
123904 121 1.04790635665739
124416 121.5 1.04721759913433
124928 122 1.04579623150939
125440 122.5 1.0456301334337
125952 123 1.04549193902648
126464 123.5 1.04538839306361
126976 124 1.04532095479999
127488 124.5 1.04529001553793
128000 125 1.04530160678821
128512 125.5 1.04535688350352
129024 126 1.04545567622297
129536 126.5 1.04559855936268
130048 127 1.04578582304232
130560 127.5 1.04601370232185
131072 128 1.04626080855981
131584 128.5 1.04634815454542
132096 129 1.04647517347199
132608 129.5 1.0466432805122
133120 130 1.04684116994749
133632 130.5 1.04706830881046
134144 131 1.04732453750685
134656 131.5 1.04760521180639
135168 132 1.04789850347798
135680 132.5 1.0481981772014
136192 133 1.04849355020568
136704 133.5 1.0490254124144
137216 134 1.04911222316503
137728 134.5 1.0488765271325
138240 135 1.04863124997299
138752 135.5 1.04838241296797
139264 136 1.04813537944251
139776 136.5 1.0478936751269
140288 137 1.0476593460252
140800 137.5 1.04743155934211
141312 138 1.04720596377088
141824 138.5 1.04697940804502
142336 139 1.04674684508189
142848 139.5 1.04650255522019
143360 140 1.04624353217245
143872 140.5 1.04721362633815
144384 141 1.04760867714038
144896 141.5 1.0493289348053
145408 142 1.05200570694559
145920 142.5 1.05379623665349
146432 143 1.05506532788437
146944 143.5 1.05615901313213
147456 144 1.05692004393488
147968 144.5 1.05738170694318
148480 145 1.05467489218635
148992 145.5 1.05282838052073
149504 146 1.05316346766286
150016 146.5 1.05107367956125
150528 147 1.0472769906851
151040 147.5 1.04531280338596
151552 148 1.04357944885619
152064 148.5 1.04388165882091
152576 149 1.0441884846581
153088 149.5 1.0445146604996
153600 150 1.04485392947358
154112 150.5 1.04519745901965
154624 151 1.04553593498666
155136 151.5 1.04586486937609
155648 152 1.04618282248585
156160 152.5 1.04650386996744
156672 153 1.04683752697922
157184 153.5 1.04717165095196
157696 154 1.04750632249201
158208 154.5 1.04784530940006
158720 155 1.04817535534704
159232 155.5 1.04847577531219
159744 156 1.04859000506822
160256 156.5 1.04872430286418
160768 157 1.04888011937379
161280 157.5 1.04906380028482
161792 158 1.04927184819463
162304 158.5 1.04949580404802
162816 159 1.04972999815396
163328 159.5 1.04998789596825
163840 160 1.05048104870075
164352 160.5 1.05044245947486
164864 161 1.05022229758848
165376 161.5 1.04999522546908
165888 162 1.04976716509418
166400 162.5 1.04954304576137
166912 163 1.04932606864003
167424 163.5 1.0491180187061
167936 164 1.04891980849805
168448 164.5 1.04873181167878
168960 165 1.04855398538716
169472 165.5 1.04838642294013
169984 166 1.04822871072427
170496 166.5 1.04807727968851
171008 167 1.04830191034546
171520 167.5 1.05006958540555
172032 168 1.05150893980303
172544 168.5 1.05254086351887
173056 169 1.05548912267207
173568 169.5 1.05848675588682
174080 170 1.06072304150199
174592 170.5 1.06213412121295
175104 171 1.06325115110947
175616 171.5 1.06411411445272
176128 172 1.06463606259881
176640 172.5 1.0643755055413
177152 173 1.06155840287839
177664 173.5 1.0556334457105
178176 174 1.04973686833687
178688 174.5 1.04623109095804
179200 175 1.04454954176955
179712 175.5 1.04431889860257
180224 176 1.04433938560316
180736 176.5 1.04445836887463
181248 177 1.04465122616818
181760 177.5 1.04494832381725
182272 178 1.04528635887596
182784 178.5 1.04565264578823
183296 179 1.04603548421071
183808 179.5 1.04642827860713
184320 180 1.0468225459985
184832 180.5 1.04720798562914
185344 181 1.04757789805433
185856 181.5 1.04794036957826
186368 182 1.04829756095068
186880 182.5 1.04863533649079
187392 183 1.04897307072725
187904 183.5 1.04930504455249
188416 184 1.04964292979206
188928 184.5 1.04997677433794
189440 185 1.05030895146354
189952 185.5 1.0506450754008
190464 186 1.05098593153917
190976 186.5 1.05131237672752
191488 187 1.0514858181924
192000 187.5 1.05166174370951
192512 188 1.05197395128121
193024 188.5 1.05230862314727
193536 189 1.05209973367958
194048 189.5 1.05188111233971
194560 190 1.05165681287836
195072 190.5 1.05143292994582
195584 191 1.05121332006366
196096 191.5 1.05100034476692
196608 192 1.05079531458224
197120 192.5 1.05059879636079
197632 193 1.05041090137441
198144 193.5 1.05023147801994
198656 194 1.0500608180975
199168 194.5 1.04989859535603
199680 195 1.05022490357546
200192 195.5 1.0514287526572
200704 196 1.05240257395935
201216 196.5 1.05305447199911
201728 197 1.05422066245842
202240 197.5 1.05588344886711
202752 198 1.05703557734708
203264 198.5 1.05982913657517
203776 199 1.06263384167736
204288 199.5 1.06472450992885
204800 200 1.06601409243433
205312 200.5 1.06699218059674
205824 201 1.06769725816816
206336 201.5 1.06804703468471
206848 202 1.06733700788034
207360 202.5 1.0634082588349
207872 203 1.05723990706547
208384 203.5 1.05116886830118
208896 204 1.0455394846292
209408 204.5 1.04611837083268
209920 205 1.04625945808998
210432 205.5 1.0473993012606
210944 206 1.04833407985222
211456 206.5 1.04725956371473
211968 207 1.04597471590785
212480 207.5 1.04612860479895
212992 208 1.04643664071809
213504 208.5 1.04677666726277
214016 209 1.04714249170665
214528 209.5 1.04752319365924
215040 210 1.04790808685724
215552 210.5 1.04828231254867
216064 211 1.04864527590455
216576 211.5 1.04900992541202
217088 212 1.04937465456433
217600 212.5 1.04972571396121
218112 213 1.05006916201779
218624 213.5 1.05041710943673
219136 214 1.05077011885221
219648 214.5 1.05112662180874
220160 215 1.05147055943472
220672 215.5 1.05166098296107
221184 216 1.05186207255263
221696 216.5 1.05206996975097
222208 217 1.05228169531795
222720 217.5 1.05248951907794
223232 218 1.05289637448395
223744 218.5 1.0531406920875
224256 219 1.05292077041885
224768 219.5 1.05269061957886
225280 220 1.05245551697882
225792 220.5 1.05222114367448
226304 221 1.05199144216967
226816 221.5 1.05176865413717
227328 222 1.05155398421037
227840 222.5 1.05134838054709
228352 223 1.0511524706692
228864 223.5 1.05105897002341
229376 224 1.05287383409281
229888 224.5 1.05412147941944
230400 225 1.05507917769519
230912 225.5 1.0555431520533
231424 226 1.05778285465466
231936 226.5 1.05965381314805
232448 227 1.06102020067959
232960 227.5 1.06247642453787
233472 228 1.06603541755168
233984 228.5 1.06901615618184
234496 229 1.0708938663763
235008 229.5 1.07202480770374
235520 230 1.07284435214989
236032 230.5 1.07325692441145
236544 231 1.0731898908935
237056 231.5 1.07132314111456
237568 232 1.06438097539838
238080 232.5 1.05724996433698
238592 233 1.05251752580565
239104 233.5 1.04887890223909
239616 234 1.04759371507605
240128 234.5 1.04877659136415
240640 235 1.0488368857778
241152 235.5 1.0486607163071
241664 236 1.0481937568157
242176 236.5 1.0474099307988
242688 237 1.04785186508735
243200 237.5 1.04900349848537
243712 238 1.04912075408777
244224 238.5 1.04766462515633
244736 239 1.04764748056101
245248 239.5 1.04775123448778
245760 240 1.04809995173405
246272 240.5 1.04850752053697
246784 241 1.04891661548474
247296 241.5 1.04932806323569
247808 242 1.04976140971678
248320 242.5 1.05020323494924
248832 243 1.0506376869659
249344 243.5 1.05105545307093
249856 244 1.05147579144529
250368 244.5 1.05190635982006
250880 245 1.052222723727
251392 245.5 1.0524626681694
251904 246 1.05271254750379
252416 246.5 1.0529693290352
252928 247 1.05322983171252
253440 247.5 1.05349016020808
253952 248 1.05374122265383
254464 248.5 1.05422154507131
254976 249 1.05450171181995
255488 249.5 1.05420511290091
256000 250 1.0538875580549
256512 250.5 1.05355482475709
257024 251 1.053214045719
257536 251.5 1.05317738917834
258048 252 1.05558080252414
258560 252.5 1.05770913015647
259072 253 1.05915353549774
259584 253.5 1.06035554631502
260096 254 1.06099338563235
260608 254.5 1.06201122485529
261120 255 1.06420482690884
261632 255.5 1.06569388253398
262144 256 1.06687312979626
262656 256.5 1.06968221005348
263168 257 1.0733981826711
263680 257.5 1.07647609111276
264192 258 1.07831797632554
264704 258.5 1.07938241662455
265216 259 1.08003097193895
265728 259.5 1.08015137648806
266240 260 1.07968468578039
266752 260.5 1.0765333966025
267264 261 1.06920984231583
267776 261.5 1.06655193432608
268288 262 1.067594723151
268800 262.5 1.06849473290556
269312 263 1.06912659012283
269824 263.5 1.06936352719844
270336 264 1.06916034075495
270848 264.5 1.06829380952141
271360 265 1.06675982594693
271872 265.5 1.06517507185719
272384 266 1.0635496929654
272896 266.5 1.06194647732432
273408 267 1.06039628386847
273920 267.5 1.05900004040406
274432 268 1.05773533507836
274944 268.5 1.05615303833289
275456 269 1.05434248174947
275968 269.5 1.05149889667803
276480 270 1.05089791205386
276992 270.5 1.04919396540809
277504 271 1.04901942409718
278016 271.5 1.04865880388421
278528 272 1.04757950278016
279040 272.5 1.04793773497671
279552 273 1.04843999107839
280064 273.5 1.04892222398348
280576 274 1.04941689852287
281088 274.5 1.04992598755463
281600 275 1.05045323606558
282112 275.5 1.05077718680448
282624 276 1.05111194821143
283136 276.5 1.05146247498303
283648 277 1.05208561429262
284160 277.5 1.05304557304223
284672 278 1.05410955219079
285184 278.5 1.05502889640208
285696 279 1.05585068502016
286208 279.5 1.05633725514013
286720 280 1.05875917819066
287232 280.5 1.06114821928569
287744 281 1.06319810741323
288256 281.5 1.06468308988476
288768 282 1.06596590394963
289280 282.5 1.06673642761162
289792 283 1.06657748470657
290304 283.5 1.06856840470031
290816 284 1.06985859300843
291328 284.5 1.07246901256172
291840 285 1.07583386944571
292352 285.5 1.07877203309608
292864 286 1.08113340161168
293376 286.5 1.08252249747073
293888 287 1.08309831224138
294400 287.5 1.0833861051322
294912 288 1.08355990170935
295424 288.5 1.08314447808919
295936 289 1.08076048081265
296448 289.5 1.07541671933281
296960 290 1.071252336257
297472 290.5 1.07028304409813
297984 291 1.06874616920301
298496 291.5 1.06631034803714
299008 292 1.06104475275125
299520 292.5 1.06165696280739
300032 293 1.06209649648514
300544 293.5 1.06227779400412
301056 294 1.0621596080553
301568 294.5 1.06169490699928
302080 295 1.06066004509867
302592 295.5 1.05946305664829
303104 296 1.05993921393911
303616 296.5 1.06018966336841
304128 297 1.06006637799925
304640 297.5 1.06086355355835
305152 298 1.06162288341426
305664 298.5 1.06231696237266
306176 299 1.0629090921134
306688 299.5 1.06341785847309
307200 300 1.06375167049295
307712 300.5 1.06383903231704
308224 301 1.06369963660823
308736 301.5 1.06154561402475
309248 302 1.05877988717413
309760 302.5 1.05565698874209
310272 303 1.05213752891789
310784 303.5 1.05126072274929
311296 304 1.05241249813649
311808 304.5 1.05353452746025
312320 305 1.05461642402143
312832 305.5 1.05562712091498
313344 306 1.0565646809576
313856 306.5 1.05728974489069
314368 307 1.05792100728014
314880 307.5 1.05847494489026
315392 308 1.05890393821354
315904 308.5 1.05915009924791
316416 309 1.059107941914
316928 309.5 1.06169524270921
317440 310 1.06413355868762
317952 310.5 1.06624935139347
318464 311 1.06773289368513
318976 311.5 1.06896696330731
319488 312 1.06957935688161
320000 312.5 1.06976349709391
320512 313 1.07177505111592
321024 313.5 1.07300582652212
321536 314 1.07605185482781
322048 314.5 1.07937126291259
322560 315 1.08218767116442
323072 315.5 1.08438830224103
323584 316 1.08601377697207
324096 316.5 1.08675037505979
324608 317 1.08652080743118
325120 317.5 1.08596362889005
325632 318 1.08539958656086
326144 318.5 1.08411742422614
326656 319 1.07954916709034
327168 319.5 1.07428800699393
327680 320 1.07015034059979
328192 320.5 1.06996843045677
328704 321 1.0692725496039
329216 321.5 1.06801473822899
329728 322 1.06580444531873
330240 322.5 1.061861299243
330752 323 1.06250116607481
331264 323.5 1.06301154152904
331776 324 1.06345896010558
332288 324.5 1.06387368533378
332800 325 1.06399778281405
333312 325.5 1.06377278115396
333824 326 1.0631225377559
334336 326.5 1.06165139858934
334848 327 1.06029826047118
335360 327.5 1.06129662526718
335872 328 1.06216298791352
336384 328.5 1.06271478415969
336896 329 1.06316278666583
337408 329.5 1.06353711853118
337920 330 1.06387748572363
338432 330.5 1.06416970159465
338944 331 1.06436623289412
339456 331.5 1.06450595954821
339968 332 1.0647671645419
340480 332.5 1.06466523002583
340992 333 1.06408070019596
341504 333.5 1.06139663977421
342016 334 1.05673559750529
342528 334.5 1.05611578591912
343040 335 1.05529257245715
343552 335.5 1.05534573013092
344064 336 1.0556962763339
344576 336.5 1.05630105932072
345088 337 1.05692321510898
345600 337.5 1.05738780758703
346112 338 1.05775131475822
346624 338.5 1.05812886120157
347136 339 1.05844631810414
347648 339.5 1.05866153302329
348160 340 1.05848241131004
348672 340.5 1.05785808266197
349184 341 1.05769911350949
349696 341.5 1.05867665129075
350208 342 1.06150665934205
350720 342.5 1.0642270078446
351232 343 1.06678062271132
351744 343.5 1.068942081445
352256 344 1.07048013765681
352768 344.5 1.07162658834535
353280 345 1.07196859909774
353792 345.5 1.07279814033957
354304 346 1.07430786978322
354816 346.5 1.07744262277134
355328 347 1.08096971945066
355840 347.5 1.08414393529909
356352 348 1.08673239809547
356864 348.5 1.08864186406923
357376 349 1.08967482698078
357888 349.5 1.08964213725123
358400 350 1.08918382220938
358912 350.5 1.08876217840111
359424 351 1.08817504971611
359936 351.5 1.08379600393001
360448 352 1.07826894611526
360960 352.5 1.07199110917476
361472 353 1.06834901381895
361984 353.5 1.06784980453915
362496 354 1.06708896446788
363008 354.5 1.06608032267071
363520 355 1.0655523246392
364032 355.5 1.06503972838179
364544 356 1.06372066129854
365056 356.5 1.06427004355216
365568 357 1.06466747350352
366080 357.5 1.06490105194133
366592 358 1.06510540689329
367104 358.5 1.06496421755615
367616 359 1.06438633558757
368128 359.5 1.06326229291287
368640 360 1.06469554172756
369152 360.5 1.06591970365422
369664 361 1.06689661864855
370176 361.5 1.06751348265353
370688 362 1.0680175451385
371200 362.5 1.06836551557479
371712 363 1.06850778183439
372224 363.5 1.06843132439651
372736 364 1.06808942350605
373248 364.5 1.06751072969706
373760 365 1.06712953970809
374272 365.5 1.06512557614164
374784 366 1.06256801099688
375296 366.5 1.05967197494609
375808 367 1.05796730037689
376320 367.5 1.05848553525703
376832 368 1.05879705570956
377344 368.5 1.05928058473527
377856 369 1.05945780399971
378368 369.5 1.05960583579231
378880 370 1.05971668943407
379392 370.5 1.05987600342976
379904 371 1.05997290265333
380416 371.5 1.05992914032749
380928 372 1.05947989996603
381440 372.5 1.05884110347828
381952 373 1.05867816229978
382464 373.5 1.05887089012862
382976 374 1.05905433011206
383488 374.5 1.05929288162647
384000 375 1.05965016053824
384512 375.5 1.0591162075144
385024 376 1.05878562241751
385536 376.5 1.06024452410427
386048 377 1.06158130823343
386560 377.5 1.06287893889786
387072 378 1.06396116001838
387584 378.5 1.06495638132414
388096 379 1.06616788044626
388608 379.5 1.06717629498962
389120 380 1.06784643030467
389632 380.5 1.06823363608765
390144 381 1.0687847746073
390656 381.5 1.07004666024717
391168 382 1.07293183707761
391680 382.5 1.07576577249438
392192 383 1.07851322543269
392704 383.5 1.08114439649734
393216 384 1.08357271631315
393728 384.5 1.08572754714299
394240 385 1.08755290834546
394752 385.5 1.08898318599088
395264 386 1.0899587997
395776 386.5 1.09049229604962
396288 387 1.09057203761183
396800 387.5 1.09031381711266
397312 388 1.08981365633948
397824 388.5 1.08939482924243
398336 389 1.08911732784216
398848 389.5 1.08891115484778
399360 390 1.08876333623993
399872 390.5 1.08866893127626
400384 391 1.08860178370745
400896 391.5 1.08855253361839
401408 392 1.08848453368845
401920 392.5 1.08664585228856
402432 393 1.0840601513449
402944 393.5 1.08439856370017
403456 394 1.08437072777611
403968 394.5 1.08371115648479
404480 395 1.08256011443181
404992 395.5 1.08118080288866
405504 396 1.07871827997419
406016 396.5 1.07506688706889
406528 397 1.07510168531016
407040 397.5 1.07536749549994
407552 398 1.07546605045415
408064 398.5 1.07525937292632
408576 399 1.07448357468965
409088 399.5 1.0715024269631
409600 400 1.06804163294926
