# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000548005806069028
512 0.5 0.00054867721172698
1024 1 0.000552044677288704
1536 1.5 0.000503151625996266
2048 2 0.000662197080692026
2560 2.5 0.000831413986559254
3072 3 0.000981894308991482
3584 3.5 0.00111105506482854
4096 4 0.00123379266393128
4608 4.5 0.00135882217542517
5120 5 0.00148565256165584
5632 5.5 0.00160569244939031
6144 6 0.0017104705522232
6656 6.5 0.0018002044462623
7168 7 0.00188386695997815
7680 7.5 0.00196932610125578
8192 8 0.002055032632786
8704 8.5 0.00213615353728631
9216 9 0.00221813456125214
9728 9.5 0.00231348727343671
10240 10 0.00241836455181262
10752 10.5 0.00250547044054121
11264 11 0.00255913010670784
11776 11.5 0.00260911840180875
12288 12 0.0026999412522327
12800 12.5 0.0028252732120128
13312 13 0.00293068384366194
13824 13.5 0.00299497426819641
14336 14 0.00306541953008253
14848 14.5 0.00318247558378881
15360 15 0.00331204600539291
15872 15.5 0.00339997223105472
16384 16 0.00346194466796133
16896 16.5 0.00355983287594623
17408 17 0.00370278635263867
17920 17.5 0.00383324518868521
18432 18 0.00391560554187705
18944 18.5 0.00398497434813144
19456 19 0.00408950256838377
19968 19.5 0.00422496147093739
20480 20 0.00435254311086977
20992 20.5 0.00445557668978554
21504 21 0.00455055155596305
22016 21.5 0.00465363081228495
22528 22 0.00476129428658882
23040 22.5 0.00486513318462214
23552 23 0.00496953290715574
24064 23.5 0.00508626709567327
24576 24 0.00521531855728583
25088 24.5 0.00533802951155847
25600 25 0.00543515079924639
26112 25.5 0.00551267151057661
26624 26 0.00560218255783101
27136 26.5 0.00572789234739576
27648 27 0.00587763088015744
28160 27.5 0.00601611943909035
28672 28 0.0061242614350798
29184 28.5 0.00621464533796871
29696 29 0.00631074926174514
30208 29.5 0.0064251100286756
30720 30 0.00655861896229169
31232 30.5 0.0067041695964508
31744 31 0.00684386293249568
32256 31.5 0.00695785204257818
32768 32 0.00704838816077596
33280 32.5 0.00714568619098919
33792 33 0.00727694123603025
34304 33.5 0.0074338451363046
34816 34 0.00758122645966759
35328 34.5 0.00769557844792391
35840 35 0.00778700656231303
36352 35.5 0.00788514204900613
36864 36 0.00801056614000795
