# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713103
512 0.5 -0.000141556953313475
1024 1 -0.000215464804310907
1536 1.5 -0.00031235777208719
2048 2 -0.000408666146216047
2560 2.5 -0.000493514224320801
3072 3 -0.000565195918582722
3584 3.5 -0.000627460312609461
4096 4 -0.000689681144199801
4608 4.5 -0.00075715628417209
5120 5 -0.000825708787535521
5632 5.5 -0.000886032868208936
6144 6 -0.000933647366482367
6656 6.5 -0.000973229011016888
7168 7 -0.00101219411342577
7680 7.5 -0.00105298084521741
8192 8 -0.00109434887927317
8704 8.5 -0.00113562319733667
9216 9 -0.0011742044357776
9728 9.5 -0.00120492678552235
10240 10 -0.0012300614184784
10752 10.5 -0.00126217379573414
11264 11 -0.00130586111840879
11776 11.5 -0.00134594914067028
12288 12 -0.00136868580568831
12800 12.5 -0.00138619184454678
13312 13 -0.00142244436537898
13824 13.5 -0.00147946174808566
14336 14 -0.00153378659002228
14848 14.5 -0.00156718064533365
15360 15 -0.00158904233027496
15872 15.5 -0.00162330235927212
16384 16 -0.00167814713222363
16896 16.5 -0.00173700931595825
17408 17 -0.00178255883960571
17920 17.5 -0.00182020285267247
18432 18 -0.00186619438296806
18944 18.5 -0.00191969814797913
19456 19 -0.00196577365783568
19968 19.5 -0.00200488126117015
20480 20 -0.00205645498497895
20992 20.5 -0.00212586097102798
21504 21 -0.00218917046276816
22016 21.5 -0.00222565391493388
22528 22 -0.00225005145943187
23040 22.5 -0.002293677658237
23552 23 -0.00236180415642682
24064 23.5 -0.00242973280421168
24576 24 -0.0024790119963766
25088 24.5 -0.00251762955514585
25600 25 -0.00256039343812122
26112 25.5 -0.00260802183248995
26624 26 -0.00265605125007165
27136 26.5 -0.0027097789066382
27648 27 -0.00277496740475344
28160 27.5 -0.00284137286460017
28672 28 -0.00289146515388738
29184 28.5 -0.00292465111125101
29696 29 -0.00296072733739915
30208 29.5 -0.00301715579795125
30720 30 -0.00309063215901208
31232 30.5 -0.00316294513095633
31744 31 -0.00321955210166958
32256 31.5 -0.0032610980260592
32768 32 -0.00330102784907573
33280 32.5 -0.00335359378627208
33792 33 -0.00342176552962276
34304 33.5 -0.00349503310752381
34816 34 -0.00355809616287775
35328 34.5 -0.00360494442249311
35840 35 -0.00364237255140014
36352 35.5 -0.00368490478687264
36864 36 -0.00374311323272307
37376 36.5 -0.00381237102014122
37888 37 -0.00387500802447641
38400 37.5 -0.00391889253589532
38912 38 -0.0039524498734971
39424 38.5 -0.00399473977131103
39936 39 -0.00405188440578824
40448 39.5 -0.00411148736870948
40960 40 -0.00416075660872603
41472 40.5 -0.00420123056012002
41984 41 -0.00424218774653204
42496 41.5 -0.0042871310966372
43008 42 -0.00433301896675537
43520 42.5 -0.00437860253506289
44032 43 -0.0044261364280363
44544 43.5 -0.00447476557577321
45056 44 -0.00451836230053636
45568 44.5 -0.00455344432313617
46080 45 -0.00458609379500479
46592 45.5 -0.0046262335706818
47104 46 -0.00467530226964246
47616 46.5 -0.00472359010153708
48128 47 -0.00476131167380485
48640 47.5 -0.00479001453622938
49152 48 -0.00482088842717974
49664 48.5 -0.00486198366882028
50176 49 -0.00490881644586248
50688 49.5 -0.00494946110920674
51200 50 -0.00497902114586962
51712 50.5 -0.00500546930070887
52224 51 -0.00503847367722442
52736 51.5 -0.00507676973184292
53248 52 -0.00511187516793315
53760 52.5 -0.00514155754036143
54272 53 -0.00517198480851902
54784 53.5 -0.00520625538613632
55296 54 -0.00523865233216027
55808 54.5 -0.00526412419939626
56320 55 -0.00528782994696897
56832 55.5 -0.00531890339581154
57344 56 -0.00535655894431582
57856 56.5 -0.00538933118268842
58368 57 -0.0054104045656188
58880 57.5 -0.00542811268268255
59392 58 -0.00545557857642686
59904 58.5 -0.0054927671297577
60416 59 -0.00552646901547897
60928 59.5 -0.00554878068270133
61440 60 -0.00556750277033247
61952 60.5 -0.00559372129854618
62464 61 -0.00562588266346173
62976 61.5 -0.00565377461305982
63488 62 -0.00567484129170615
64000 62.5 -0.00569721707799479
64512 63 -0.00572610588471428
65024 63.5 -0.00575587563880801
65536 64 -0.00577966011741203
66048 64.5 -0.00580021126871066
66560 65 -0.00582490570159245
67072 65.5 -0.00585375577204982
67584 66 -0.00587987439023461
68096 66.5 -0.00590115890633934
68608 67 -0.00592388990326848
69120 67.5 -0.00595221759511145
69632 68 -0.00598057863709012
70144 68.5 -0.00600195159561477
70656 69 -0.00601964233306554
71168 69.5 -0.00604370590201045
71680 70 -0.00607626374818466
72192 70.5 -0.00610753748177787
72704 71 -0.00612901869846954
73216 71.5 -0.00614489425415668
73728 72 -0.0061657845583454
74240 72.5 -0.00619477761916212
74752 73 -0.00622529365661164
75264 73.5 -0.00625124970801851
75776 74 -0.00627345548664065
76288 74.5 -0.00629543482102058
76800 75 -0.0063183353873574
77312 75.5 -0.00634228562110502
77824 76 -0.00636853943299027
78336 76.5 -0.00639684721713929
78848 77 -0.00642351691525268
79360 77.5 -0.00644576991062236
79872 78 -0.00646622666983332
80384 78.5 -0.00648951476156401
80896 79 -0.00651585687638448
81408 79.5 -0.00654181484420341
81920 80 -0.00656627399072649
82432 80.5 -0.00659121959357637
82944 81 -0.0066167249413239
83456 81.5 -0.00664002408857241
83968 82 -0.00666094001911435
84480 82.5 -0.00668386304130972
84992 83 -0.00671151898698965
85504 83.5 -0.00673987873238592
86016 84 -0.00676298065618175
86528 84.5 -0.00678137591348781
87040 85 -0.00680182199456484
87552 85.5 -0.00682829382156042
88064 86 -0.00685688401823119
88576 86.5 -0.00688146580299601
89088 87 -0.00690172691223599
89600 87.5 -0.00692253967404831
90112 88 -0.00694667469029717
90624 88.5 -0.00697179802388751
91136 89 -0.00699505041267011
91648 89.5 -0.0070171553262204
92160 90 -0.00704009726473432
92672 90.5 -0.0070632277340144
93184 91 -0.00708460456796198
93696 91.5 -0.00710509553303955
94208 92 -0.00712784433844233
94720 92.5 -0.00715323220298429
95232 93 -0.00717735326300342
95744 93.5 -0.0071972147837207
96256 94 -0.00721531721558794
96768 94.5 -0.00723651873660027
97280 95 -0.00726136890008463
97792 95.5 -0.00728542073004514
98304 96 -0.0073053347306199
98816 96.5 -0.00732304760628075
99328 97 -0.00734271035225251
99840 97.5 -0.00736539334663307
100352 98 -0.00738855273684143
100864 98.5 -0.00740973261644574
101376 99 -0.00742899552698141
101888 99.5 -0.00744790028847157
102400 100 -0.00746759283598377
102912 100.5 -0.00748824639363604
103424 101 -0.00750934941457448
103936 101.5 -0.00752996204618232
104448 102 -0.00754922599301689
104960 102.5 -0.00756721409086233
105472 103 -0.00758520127601742
105984 103.5 -0.00760468494473656
106496 104 -0.00762581685032153
107008 104.5 -0.00764684034726709
107520 105 -0.0076656058335117
108032 105.5 -0.00768204430630071
108544 106 -0.00769863706972491
109056 106.5 -0.00771771376071653
109568 107 -0.00773865234979321
110080 107.5 -0.00775864143287076
110592 108 -0.00777600375234602
111104 108.5 -0.00779184342761355
111616 109 -0.00780847323549975
112128 109.5 -0.00782705674667196
112640 110 -0.00784682998775477
113152 110.5 -0.00786596600527526
113664 111 -0.00788316905965513
114176 111.5 -0.00789891891193767
114688 112 -0.00791509608151737
115200 112.5 -0.00793299266604256
115712 113 -0.00795187552648749
116224 113.5 -0.00796993106707062
116736 114 -0.00798640613879879
117248 114.5 -0.00800227832909639
117760 115 -0.00801886847208456
118272 115.5 -0.00803635786912459
118784 116 -0.00805393998848532
119296 116.5 -0.0080710752198072
119808 117 -0.00808802204800123
120320 117.5 -0.00810501343932295
120832 118 -0.00812155680797922
121344 118.5 -0.00813727594326947
121856 119 -0.00815311526175267
122368 119.5 -0.00817053832808652
122880 120 -0.00818925023640101
123392 120.5 -0.00820693413292982
123904 121 -0.00822214746684345
124416 121.5 -0.00823657622453644
124928 122 -0.00825310076917682
125440 122.5 -0.00827200997843021
125952 123 -0.00829060996438209
126464 123.5 -0.00830680588979717
126976 124 -0.00832169106905593
127488 124.5 -0.00833775950077737
128000 125 -0.00835556309314306
128512 125.5 -0.00837346703137132
