# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 1.80139729191528e-06
512 0.5 1.02349622555053e-05
1024 1 1.52363799072823e-05
1536 1.5 1.76174123614453e-05
2048 2 1.78714582842346e-05
2560 2.5 1.76767505488152e-05
3072 3 1.84139276828926e-05
3584 3.5 1.9451365070453e-05
4096 4 1.97417308785561e-05
4608 4.5 1.95598218335817e-05
5120 5 1.96074782315988e-05
5632 5.5 2.03524810277161e-05
6144 6 2.0713879967454e-05
6656 6.5 2.06654148190539e-05
7168 7 2.06294094259226e-05
7680 7.5 2.09974607095626e-05
8192 8 2.13711340844023e-05
8704 8.5 2.14122038798816e-05
9216 9 2.13855554900728e-05
9728 9.5 2.15370997635195e-05
10240 10 2.19185091026005e-05
10752 10.5 2.19626887722419e-05
11264 11 2.20177263151284e-05
11776 11.5 2.21171076488262e-05
12288 12 2.23662289603304e-05
12800 12.5 2.25270343340598e-05
13312 13 2.25657876347251e-05
13824 13.5 2.26788343696001e-05
14336 14 2.29117005463254e-05
14848 14.5 2.3061050698443e-05
15360 15 2.31936209432261e-05
15872 15.5 2.33110312007239e-05
16384 16 2.34748573359769e-05
16896 16.5 2.36625501242875e-05
17408 17 2.37654188525434e-05
17920 17.5 2.39900254412597e-05
18432 18 2.41189766833905e-05
18944 18.5 2.43468870675249e-05
19456 19 2.44407938703507e-05
19968 19.5 2.45385319238333e-05
20480 20 2.47718475730797e-05
20992 20.5 2.49335658486423e-05
21504 21 2.51798737859766e-05
22016 21.5 2.53053329355269e-05
22528 22 2.54168870824236e-05
23040 22.5 2.56380860155166e-05
23552 23 2.57847116951286e-05
24064 23.5 2.60611911308875e-05
24576 24 2.61868219716153e-05
25088 24.5 2.6350845713911e-05
25600 25 2.65115235800269e-05
26112 25.5 2.66839029529941e-05
26624 26 2.69594988637808e-05
27136 26.5 2.71151120494233e-05
27648 27 2.73267266920398e-05
28160 27.5 2.74200035114431e-05
28672 28 2.76436768148096e-05
29184 28.5 2.78636062269251e-05
29696 29 2.80756919281849e-05
30208 29.5 2.82518286393421e-05
30720 30 2.84032674732958e-05
31232 30.5 2.86032352798377e-05
31744 31 2.87991674827179e-05
32256 31.5 2.90383522750421e-05
32768 32 2.92331918203931e-05
33280 32.5 2.94384729928976e-05
33792 33 2.96137870780298e-05
34304 33.5 2.97936341265811e-05
34816 34 2.99804745487598e-05
35328 34.5 3.02150126934674e-05
35840 35 3.04725914497474e-05
36352 35.5 3.07371856451555e-05
36864 36 3.09486155847373e-05
37376 36.5 3.11112498090109e-05
37888 37 3.13046956385723e-05
38400 37.5 3.15457589071832e-05
38912 38 3.18465462056204e-05
39424 38.5 3.20912246179704e-05
39936 39 3.22538653212337e-05
40448 39.5 3.24409915230824e-05
40960 40 3.26099826321802e-05
41472 40.5 3.28961010794746e-05
41984 41 3.30911252442272e-05
42496 41.5 3.32580264203594e-05
43008 42 3.34530718070434e-05
43520 42.5 3.36407960351629e-05
44032 43 3.39703874339722e-05
44544 43.5 3.41369628076594e-05
45056 44 3.43521837371842e-05
45568 44.5 3.45036607105718e-05
46080 45 3.47274213492142e-05
46592 45.5 3.50447219459408e-05
47104 46 3.52253347426118e-05
47616 46.5 3.54575291248009e-05
48128 47 3.5588674045149e-05
48640 47.5 3.58515732358382e-05
49152 48 3.61166891859959e-05
49664 48.5 3.63246561955779e-05
50176 49 3.6589279172754e-05
50688 49.5 3.67506416658831e-05
51200 50 3.70173149954542e-05
51712 50.5 3.72278126475818e-05
52224 51 3.74653375657522e-05
52736 51.5 3.77122169373966e-05
53248 52 3.7917100111584e-05
53760 52.5 3.81637737669211e-05
54272 53 3.83558873495017e-05
54784 53.5 3.86361034281399e-05
55296 54 3.88326260497469e-05
55808 54.5 3.90614022361938e-05
56320 55 3.92635892216507e-05
56832 55.5 3.95010064351501e-05
57344 56 3.97498786123708e-05
57856 56.5 3.99437464633142e-05
58368 57 4.01726983536994e-05
58880 57.5 4.03593767004879e-05
