# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.90741394945615e-05 1.90741394945613e-05 1.90741394945612e-05
1024 1 3.15853494747705e-05 3.15853494747754e-05 3.15853494747801e-05
1536 1.5 4.14860995795128e-05 4.14860995795058e-05 4.14860995794987e-05
2048 2 2.20730770718761e-05 2.20730770719207e-05 2.20730770718605e-05
2560 2.5 2.78416091891359e-05 2.78416091892107e-05 2.78416091891328e-05
3072 3 4.09253680021197e-05 4.09253680021124e-05 4.09253680021052e-05
3584 3.5 4.45472275696838e-05 4.4547227569671e-05 4.45472275696554e-05
4096 4 2.65665676265028e-05 2.65665676265099e-05 2.65665676265094e-05
4608 4.5 4.30940377039759e-05 4.30940377039499e-05 4.3094037703981e-05
5120 5 4.40923215179096e-05 4.40923215178406e-05 4.4092321517814e-05
5632 5.5 3.50130279720157e-05 3.50130279720619e-05 3.50130279720377e-05
6144 6 4.05719696855339e-05 4.05719696855848e-05 4.05719696854497e-05
6656 6.5 3.23237157945854e-05 3.2323715794986e-05 3.2323715795306e-05
7168 7 3.23908555777129e-05 3.23908555771005e-05 3.23908555774836e-05
7680 7.5 3.11192682378654e-05 3.11192682369186e-05 3.11192682369449e-05
8192 8 2.98781536278805e-05 2.98781536276391e-05 2.98781536269592e-05
8704 8.5 3.83368363484592e-05 3.83368363465091e-05 3.83368363466065e-05
9216 9 2.67649008402544e-05 2.67649008407353e-05 2.67649008404699e-05
9728 9.5 3.07452330219656e-05 3.07452330196652e-05 3.0745233018978e-05
10240 10 2.33165973051962e-05 2.33165973045295e-05 2.33165973026784e-05
10752 10.5 2.64433172237938e-05 2.64433172237122e-05 2.64433172244567e-05
11264 11 3.69722903980466e-05 3.69722903970227e-05 3.69722903963725e-05
11776 11.5 3.58356730928867e-05 3.58356730921418e-05 3.58356730918396e-05
12288 12 3.88965747872954e-05 3.88965747871546e-05 3.88965747860911e-05
12800 12.5 3.92324760836774e-05 3.9232476083767e-05 3.92324760826172e-05
13312 13 4.10413152488451e-05 4.10413152494564e-05 4.10413152477286e-05
13824 13.5 3.56524516249508e-05 3.56524516242029e-05 3.56524516230264e-05
14336 14 2.2310174974149e-05 2.23101749737222e-05 2.23101749727971e-05
14848 14.5 2.4744077983417e-05 2.47440779836152e-05 2.47440779829596e-05
15360 15 2.44284913696978e-05 2.44284913679484e-05 2.44284913690048e-05
15872 15.5 2.5263448114935e-05 2.52634481111717e-05 2.52634481121851e-05
16384 16 2.93031069444281e-05 2.93031069487042e-05 2.93031069455034e-05
16896 16.5 4.38459955156321e-05 4.38459955182884e-05 4.38459955148182e-05
17408 17 5.13010341474371e-05 5.13010341477755e-05 5.13010341479989e-05
17920 17.5 5.14448506239256e-05 5.14448506236496e-05 5.14448506257643e-05
18432 18 5.75158542931925e-05 5.75158542943417e-05 5.75158542908263e-05
18944 18.5 5.01191237149971e-05 5.01191237169339e-05 5.01191237155476e-05
19456 19 3.21518954617891e-05 3.21518954626911e-05 3.21518954644407e-05
19968 19.5 3.12762867431427e-05 3.12762867451646e-05 3.12762867458123e-05
20480 20 3.6250405444052e-05 3.62504054479202e-05 3.62504054469125e-05
20992 20.5 3.9050588680065e-05 3.90505886778784e-05 3.90505886782321e-05
21504 21 4.54884052897381e-05 4.54884052913994e-05 4.5488405290077e-05
22016 21.5 5.46884987000523e-05 5.46884986992226e-05 5.46884986996736e-05
22528 22 5.82782604774358e-05 5.82782604748389e-05 5.82782604762117e-05
23040 22.5 5.51081801788745e-05 5.51081801759869e-05 5.51081801779105e-05
23552 23 4.42976025448303e-05 4.42976025426424e-05 4.4297602543843e-05
24064 23.5 3.63162904903057e-05 3.63162904899917e-05 3.63162904912794e-05
24576 24 3.82486472700058e-05 3.82486472709817e-05 3.8248647271371e-05
25088 24.5 4.35954020963921e-05 4.35954020945509e-05 4.35954020941688e-05
25600 25 4.51918222530439e-05 4.51918222503146e-05 4.51918222502059e-05
26112 25.5 4.39022075597028e-05 4.39022075619618e-05 4.39022075644884e-05
26624 26 4.24919941092506e-05 4.24919941092106e-05 4.24919941090988e-05
27136 26.5 3.93397685426765e-05 3.93397685396528e-05 3.93397685394859e-05
27648 27 4.1455194953151e-05 4.14551949484607e-05 4.14551949512675e-05
28160 27.5 4.90176757282931e-05 4.90176757258512e-05 4.90176757289817e-05
28672 28 5.62905687693562e-05 5.6290568770234e-05 5.62905687694502e-05
29184 28.5 5.89884664584777e-05 5.89884664606996e-05 5.89884664566284e-05
29696 29 5.71528769038012e-05 5.71528769049414e-05 5.71528769016941e-05
30208 29.5 5.16215301501164e-05 5.16215301516064e-05 5.16215301517894e-05
30720 30 4.27491356278668e-05 4.27491356309943e-05 4.27491356315796e-05
31232 30.5 3.40059158781657e-05 3.40059158797348e-05 3.40059158785967e-05
31744 31 3.89980042681685e-05 3.89980042669339e-05 3.89980042720724e-05
32256 31.5 4.57509054136589e-05 4.57509054144794e-05 4.57509054159216e-05
32768 32 4.90249345478253e-05 4.90249345498651e-05 4.90249345476752e-05
33280 32.5 4.47623458109343e-05 4.47623458125525e-05 4.47623458093279e-05
33792 33 4.10235513063839e-05 4.10235513078891e-05 4.10235513058764e-05
34304 33.5 4.46214990901525e-05 4.46214990915457e-05 4.46214990903318e-05
34816 34 5.00034478053411e-05 5.00034478054013e-05 5.00034478045925e-05
35328 34.5 5.05663604041195e-05 5.05663604028393e-05 5.05663604013001e-05
35840 35 4.52348073744617e-05 4.52348073733542e-05 4.52348073724343e-05
36352 35.5 4.00571072093649e-05 4.00571072091728e-05 4.00571072107501e-05
36864 36 4.04885917825296e-05 4.04885917825554e-05 4.04885917858368e-05
37376 36.5 4.5469325936794e-05 4.54693259368977e-05 4.54693259395099e-05
37888 37 4.92319941761635e-05 4.92319941772941e-05 4.92319941776943e-05
38400 37.5 4.71146545521562e-05 4.71146545536921e-05 4.71146545510432e-05
38912 38 3.93034010573724e-05 3.930340105724e-05 3.93034010532222e-05
39424 38.5 3.90665237876268e-05 3.90665237884324e-05 3.9066523791574e-05
39936 39 3.57018935808491e-05 3.57018935783374e-05 3.57018935789596e-05
40448 39.5 3.70000487708473e-05 3.7000048773802e-05 3.70000487697484e-05
40960 40 4.31155207444981e-05 4.31155207457289e-05 4.31155207398638e-05
41472 40.5 5.05820495515117e-05 5.05820495565783e-05 5.05820495523125e-05
41984 41 4.75386747945505e-05 4.75386747983334e-05 4.75386747981805e-05
42496 41.5 4.19818535620378e-05 4.19818535634701e-05 4.19818535605558e-05
43008 42 5.60173123158635e-05 5.6017312321431e-05 5.60173123171338e-05
43520 42.5 6.13923091439233e-05 6.13923091473491e-05 6.13923091463732e-05
44032 43 6.06584040273522e-05 6.06584040246929e-05 6.06584040270621e-05
