# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.2100679132785e-05 -2.21006791327893e-05 -2.21006791327893e-05
1024 1 -3.62287541966656e-05 -3.62287541966619e-05 -3.62287541966582e-05
1536 1.5 -4.92643348476552e-05 -4.92643348476542e-05 -4.92643348476533e-05
2048 2 -3.42753664042739e-05 -3.42753664042611e-05 -3.42753664042479e-05
2560 2.5 -2.94572666537819e-05 -2.94572666537888e-05 -2.94572666537958e-05
3072 3 -5.28675849753264e-05 -5.28675849753259e-05 -5.28675849753358e-05
3584 3.5 -4.69655787417453e-05 -4.69655787417392e-05 -4.69655787417448e-05
4096 4 -2.92958046880677e-05 -2.92958046880585e-05 -2.92958046880537e-05
4608 4.5 -2.67109341857974e-05 -2.6710934185802e-05 -2.67109341857996e-05
5120 5 -3.57094164433872e-05 -3.57094164433553e-05 -3.57094164433428e-05
5632 5.5 -4.07981396554494e-05 -4.07981396555238e-05 -4.07981396554061e-05
6144 6 -3.38417496551817e-05 -3.38417496556681e-05 -3.38417496553376e-05
6656 6.5 -4.92142420836644e-05 -4.92142420833532e-05 -4.92142420836632e-05
7168 7 -4.1284431364742e-05 -4.12844313644604e-05 -4.12844313646997e-05
7680 7.5 -3.84428342100267e-05 -3.84428342102076e-05 -3.84428342094165e-05
8192 8 -3.47869404471946e-05 -3.47869404471047e-05 -3.47869404479597e-05
8704 8.5 -2.6114265658185e-05 -2.61142656575939e-05 -2.61142656571608e-05
9216 9 -3.94918958049591e-05 -3.94918958044659e-05 -3.9491895802702e-05
9728 9.5 -2.73527743064143e-05 -2.73527743060625e-05 -2.73527743073972e-05
10240 10 -3.49101324131589e-05 -3.49101324123982e-05 -3.49101324122626e-05
10752 10.5 -3.66279941962387e-05 -3.6627994195387e-05 -3.66279941963067e-05
11264 11 -4.65492788123474e-05 -4.6549278813098e-05 -4.65492788126227e-05
11776 11.5 -6.02725537272775e-05 -6.02725537272948e-05 -6.02725537272597e-05
12288 12 -6.71637791667811e-05 -6.71637791667809e-05 -6.71637791666213e-05
12800 12.5 -7.35163658076912e-05 -7.35163658091205e-05 -7.35163658093058e-05
13312 13 -6.83717507299702e-05 -6.8371750729756e-05 -6.83717507303262e-05
13824 13.5 -4.94577630402241e-05 -4.94577630381055e-05 -4.94577630385253e-05
14336 14 -3.63952505533267e-05 -3.63952505541143e-05 -3.63952505539237e-05
14848 14.5 -3.16821126317867e-05 -3.1682112631835e-05 -3.16821126313723e-05
15360 15 -2.76164005590596e-05 -2.76164005576859e-05 -2.76164005584009e-05
15872 15.5 -3.2976920863722e-05 -3.29769208628602e-05 -3.29769208619821e-05
16384 16 -3.769422575307e-05 -3.76942257549529e-05 -3.76942257524679e-05
16896 16.5 -3.21876476957182e-05 -3.21876476955558e-05 -3.21876476938984e-05
17408 17 -3.85267806473569e-05 -3.85267806469554e-05 -3.85267806458158e-05
17920 17.5 -4.23726520604824e-05 -4.23726520597393e-05 -4.23726520601205e-05
18432 18 -3.87562518122608e-05 -3.87562518094753e-05 -3.8756251811674e-05
18944 18.5 -3.32266609234042e-05 -3.32266609238483e-05 -3.32266609240832e-05
19456 19 -3.15357566767002e-05 -3.1535756676994e-05 -3.15357566767996e-05
19968 19.5 -3.26476684466281e-05 -3.2647668448765e-05 -3.26476684490504e-05
20480 20 -2.2654294028059e-05 -2.26542940283422e-05 -2.26542940290104e-05
20992 20.5 -2.68316044031931e-05 -2.68316044025907e-05 -2.68316043991107e-05
21504 21 -3.35312089629063e-05 -3.35312089636983e-05 -3.35312089634697e-05
22016 21.5 -3.8122632542155e-05 -3.81226325418937e-05 -3.81226325422001e-05
22528 22 -3.56642925604826e-05 -3.56642925611663e-05 -3.56642925608123e-05
23040 22.5 -4.00417696270131e-05 -4.00417696286301e-05 -4.00417696277559e-05
23552 23 -4.34709822748717e-05 -4.34709822746941e-05 -4.3470982273032e-05
24064 23.5 -4.5517378111146e-05 -4.5517378111666e-05 -4.55173781086986e-05
24576 24 -4.76090653626193e-05 -4.7609065362265e-05 -4.76090653624867e-05
25088 24.5 -4.48071046953597e-05 -4.48071046946048e-05 -4.48071046979237e-05
25600 25 -3.94577406058451e-05 -3.94577406048891e-05 -3.9457740608729e-05
26112 25.5 -3.644532681231e-05 -3.64453268114819e-05 -3.64453268131668e-05
26624 26 -3.5881409120965e-05 -3.58814091211537e-05 -3.58814091210356e-05
27136 26.5 -3.44391541672949e-05 -3.44391541692148e-05 -3.44391541679521e-05
27648 27 -3.63726692861474e-05 -3.63726692848197e-05 -3.63726692881587e-05
28160 27.5 -3.3372347596073e-05 -3.33723475964668e-05 -3.33723475965979e-05
28672 28 -3.85984459146571e-05 -3.85984459141435e-05 -3.85984459146311e-05
29184 28.5 -4.29893079001044e-05 -4.29893078995697e-05 -4.2989307899811e-05
29696 29 -4.13514813725975e-05 -4.13514813717534e-05 -4.13514813709402e-05
30208 29.5 -3.4448189498478e-05 -3.44481894973447e-05 -3.44481894957334e-05
30720 30 -2.84181365539699e-05 -2.84181365540225e-05 -2.84181365528786e-05
31232 30.5 -2.89900195804039e-05 -2.89900195822579e-05 -2.89900195822093e-05
31744 31 -3.65469084919362e-05 -3.65469084931876e-05 -3.6546908494821e-05
32256 31.5 -4.60390857867051e-05 -4.60390857863125e-05 -4.60390857884155e-05
32768 32 -5.16007540553657e-05 -5.16007540549459e-05 -5.16007540561595e-05
33280 32.5 -5.18468299871276e-05 -5.18468299865855e-05 -5.18468299870158e-05
33792 33 -5.06531821156645e-05 -5.06531821146688e-05 -5.06531821134311e-05
34304 33.5 -5.25800509959454e-05 -5.25800509951436e-05 -5.25800509928817e-05
34816 34 -5.80314323760249e-05 -5.80314323764113e-05 -5.80314323749063e-05
35328 34.5 -6.28823973843089e-05 -6.2882397384939e-05 -6.28823973860754e-05
35840 35 -6.3075148885146e-05 -6.30751488859096e-05 -6.30751488876635e-05
36352 35.5 -5.93119035180942e-05 -5.93119035185392e-05 -5.9311903519013e-05
36864 36 -5.72258643842446e-05 -5.72258643834095e-05 -5.72258643833142e-05
37376 36.5 -6.2080745277976e-05 -6.20807452768383e-05 -6.20807452770974e-05
37888 37 -7.25360646793852e-05 -7.25360646798286e-05 -7.25360646797031e-05
38400 37.5 -8.06646573703171e-05 -8.0664657371001e-05 -8.06646573718581e-05
38912 38 -7.98018657323571e-05 -7.98018657308745e-05 -7.98018657334131e-05
39424 38.5 -7.1918226770723e-05 -7.19182267683168e-05 -7.19182267696994e-05
39936 39 -6.51538626489302e-05 -6.51538626493371e-05 -6.51538626472443e-05
40448 39.5 -6.3998128845083e-05 -6.39981288476988e-05 -6.39981288442156e-05
40960 40 -6.46524651273018e-05 -6.46524651286771e-05 -6.46524651271661e-05
41472 40.5 -6.13712564871809e-05 -6.13712564866914e-05 -6.13712564871194e-05
41984 41 -5.45923342323983e-05 -5.45923342321082e-05 -5.45923342312375e-05
42496 41.5 -5.53471911655081e-05 -5.53471911668198e-05 -5.53471911680212e-05
43008 42 -5.02486440046666e-05 -5.02486440038306e-05 -5.02486440055166e-05
43520 42.5 -5.32229113214519e-05 -5.32229113210815e-05 -5.32229113231905e-05
44032 43 -5.51379832236468e-05 -5.51379832250923e-05 -5.51379832243033e-05
44544 43.5 -5.54223108502387e-05 -5.54223108523569e-05 -5.54223108496209e-05
45056 44 -5.53823001614021e-05 -5.53823001616667e-05 -5.53823001610784e-05
45568 44.5 -5.50207324037832e-05 -5.50207324025228e-05 -5.50207324032452e-05
46080 45 -5.30267374859842e-05 -5.30267374852469e-05 -5.3026737485002e-05
46592 45.5 -4.93584840777367e-05 -4.93584840785016e-05 -4.93584840775233e-05
47104 46 -4.61398232097323e-05 -4.61398232106812e-05 -4.61398232114244e-05
47616 46.5 -4.53491457182731e-05 -4.53491457182097e-05 -4.53491457199729e-05
48128 47 -4.75881694276372e-05 -4.75881694234628e-05 -4.75881694169304e-05
48640 47.5 -4.54890214431847e-05 -4.54890214416191e-05 -4.54890214405978e-05
49152 48 -4.24046102728319e-05 -4.24046102720117e-05 -4.24046102707517e-05
49664 48.5 -3.95537433547118e-05 -3.95537433545429e-05 -3.95537433547148e-05
50176 49 -4.00632184944092e-05 -4.00632184946748e-05 -4.006321849626e-05
50688 49.5 -4.32109792575348e-05 -4.32109792581929e-05 -4.32109792598945e-05
51200 50 -4.54382504274475e-05 -4.54382504278139e-05 -4.54382504283389e-05
51712 50.5 -4.5609042406492e-05 -4.56090424011054e-05 -4.56090423994253e-05
52224 51 -4.96792644734484e-05 -4.96792644718581e-05 -4.96792644739076e-05
52736 51.5 -4.8226529560889e-05 -4.82265295614871e-05 -4.8226529558793e-05
53248 52 -5.11728224925547e-05 -5.11728224956992e-05 -5.11728224934276e-05
53760 52.5 -5.11809575622207e-05 -5.11809575640257e-05 -5.11809575644297e-05
54272 53 -4.87938086734834e-05 -4.87938086718988e-05 -4.87938086744681e-05
54784 53.5 -4.77363004540375e-05 -4.77363004523129e-05 -4.7736300454322e-05
55296 54 -4.92270811759869e-05 -4.92270811767239e-05 -4.92270811768678e-05
55808 54.5 -5.00637589840977e-05 -5.00637589849672e-05 -5.00637589849241e-05
56320 55 -4.7663650159019e-05 -4.76636501585852e-05 -4.76636501584713e-05
56832 55.5 -5.22043858530479e-05 -5.22043858547483e-05 -5.22043858563099e-05
57344 56 -5.27643698205746e-05 -5.27643698264915e-05 -5.27643698289857e-05
57856 56.5 -4.87547839338316e-05 -4.8754783934792e-05 -4.87547839348127e-05
58368 57 -5.2214689237392e-05 -5.22146892381954e-05 -5.22146892388644e-05
