# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:06+0100
# parameter filename: "./TOV_example_original.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
# Run ID: run-TOV_example_original-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.58-8601
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.28460443113953e-07 2.28460443113965e-07 2.28460443113978e-07
1024 1 5.81152508013379e-07 5.81152508013417e-07 5.81152508013453e-07
1536 1.5 8.92192077467064e-07 8.92192077467058e-07 8.92192077467061e-07
2048 2 9.33488527564511e-07 9.33488527564484e-07 9.3348852756446e-07
2560 2.5 9.92971912476523e-07 9.92971912476362e-07 9.92971912476239e-07
3072 3 9.7066871999306e-07 9.70668719992892e-07 9.70668719992794e-07
3584 3.5 1.07482528503467e-06 1.0748252850346e-06 1.0748252850345e-06
4096 4 9.78368528081792e-07 9.78368528081459e-07 9.78368528081428e-07
4608 4.5 1.03832466023872e-06 1.03832466023838e-06 1.03832466023831e-06
5120 5 1.04966803328835e-06 1.04966803328815e-06 1.04966803328865e-06
5632 5.5 1.08326351697049e-06 1.08326351697039e-06 1.08326351697182e-06
6144 6 1.05621368721001e-06 1.05621368721177e-06 1.05621368721277e-06
6656 6.5 1.11236934052638e-06 1.11236934052633e-06 1.11236934052599e-06
7168 7 1.09089157631868e-06 1.09089157631832e-06 1.0908915763213e-06
7680 7.5 1.05882020497336e-06 1.05882020497306e-06 1.05882020496972e-06
8192 8 1.12799222191401e-06 1.12799222191457e-06 1.12799222191713e-06
8704 8.5 1.16119544530218e-06 1.16119544530084e-06 1.16119544529637e-06
9216 9 1.18084438579905e-06 1.18084438579526e-06 1.18084438579045e-06
9728 9.5 1.25571946681005e-06 1.25571946681746e-06 1.25571946681977e-06
10240 10 1.25517438950526e-06 1.25517438950545e-06 1.2551743895056e-06
10752 10.5 1.25818618068027e-06 1.25818618068019e-06 1.25818618068576e-06
11264 11 1.24020181586512e-06 1.24020181586692e-06 1.24020181586768e-06
11776 11.5 1.24049246541584e-06 1.24049246541077e-06 1.24049246541007e-06
12288 12 1.22720061358679e-06 1.22720061357965e-06 1.22720061357243e-06
12800 12.5 1.19701044084009e-06 1.19701044085184e-06 1.19701044085535e-06
13312 13 1.20878946007784e-06 1.20878946008224e-06 1.20878946008063e-06
13824 13.5 1.21820099722406e-06 1.21820099722862e-06 1.2182009972184e-06
14336 14 1.19215470367131e-06 1.19215470366582e-06 1.19215470366907e-06
14848 14.5 1.18392810475367e-06 1.18392810474983e-06 1.18392810476794e-06
15360 15 1.1931682231985e-06 1.19316822321087e-06 1.1931682232122e-06
15872 15.5 1.22004274224257e-06 1.22004274223096e-06 1.22004274222659e-06
16384 16 1.27224111412957e-06 1.2722411141293e-06 1.27224111412918e-06
16896 16.5 1.3063268585141e-06 1.30632685851803e-06 1.30632685854199e-06
17408 17 1.32610810313176e-06 1.32610810313922e-06 1.32610810314016e-06
17920 17.5 1.33240094401793e-06 1.33240094401618e-06 1.33240094401267e-06
18432 18 1.36332421725318e-06 1.36332421726253e-06 1.36332421728194e-06
18944 18.5 1.3646372786958e-06 1.36463727868386e-06 1.36463727870875e-06
19456 19 1.33651039852819e-06 1.33651039852426e-06 1.33651039853612e-06
19968 19.5 1.38529781004735e-06 1.3852978100531e-06 1.38529781006592e-06
20480 20 1.3714046833413e-06 1.37140468333522e-06 1.37140468333461e-06
20992 20.5 1.32880872999e-06 1.32880872999219e-06 1.32880872998467e-06
21504 21 1.3034719469567e-06 1.30347194694512e-06 1.30347194696135e-06
22016 21.5 1.31455987155697e-06 1.31455987157079e-06 1.3145598715661e-06
22528 22 1.33796790793233e-06 1.33796790791233e-06 1.33796790792399e-06
23040 22.5 1.32944092786664e-06 1.32944092785892e-06 1.32944092785813e-06
